Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
DLS van Bunge,2009-2009,2,2,0,8,8,4.00,10,80.00,0,0,1,1,0,Netherlands
T van der Gugten,2014-2016,10,2,1,8,8,8.00,12,66.66,0,0,0,0,0,Netherlands
RE van der Merwe,2016-2016,3,2,0,3,2,1.50,5,60.00,0,0,0,0,0,Netherlands
PA van Meekeren,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,Netherlands
B Zuiderent,2009-2009,2,2,0,25,13,12.50,31,80.64,0,0,0,3,0,Netherlands
CJ Anderson,2014-2016,9,7,1,113,34,18.83,106,106.60,0,0,1,10,2,NewZealand
SE Bond,2007-2010,11,4,0,11,5,2.75,13,84.61,0,0,1,1,0,NewZealand
TA Boult,2014-2014,2,1,0,3,3,3.00,8,37.50,0,0,0,0,0,NewZealand
DAJ Bracewell,2012-2012,2,2,1,3,2*,3.00,2,150.00,0,0,0,0,0,NewZealand
NT Broom,2009-2009,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0,NewZealand
IG Butler,2009-2010,7,3,3,3,2*,-,3,100.00,0,0,0,0,0,NewZealand
BJ Diamanti,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
GD Elliott,2016-2016,5,5,2,50,27,16.66,46,108.69,0,0,0,4,0,NewZealand
JEC Franklin,2009-2012,8,7,2,134,50,26.80,114,117.54,0,1,0,9,4,NewZealand
PG Fulton,2007-2007,5,5,1,77,25,19.25,73,105.47,0,0,1,3,5,NewZealand
MR Gillespie,2007-2007,6,3,2,10,7,10.00,16,62.50,0,0,0,0,0,NewZealand
MJ Guptill,2009-2016,21,20,2,409,80,22.72,368,111.14,0,1,0,40,15,NewZealand
RM Hira,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
GJ Hopkins,2010-2010,5,4,0,22,18,5.50,23,95.65,0,0,0,0,2,NewZealand
MJ McClenaghan,2014-2016,8,3,2,7,6*,7.00,3,233.33,0,0,0,0,1,NewZealand
BB McCullum,2007-2014,25,25,3,637,123,28.95,496,128.42,1,2,2,67,19,NewZealand
NL McCullum,2007-2016,22,15,6,102,26*,11.33,95,107.36,0,0,1,7,5,NewZealand
PD McGlashan,2009-2009,5,3,0,15,8,5.00,16,93.75,0,0,0,1,0,NewZealand
CD McMillan,2007-2007,6,5,1,163,57,40.75,90,181.11,0,1,0,7,13,NewZealand
CS Martin,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
KD Mills,2009-2014,15,4,1,8,4,2.66,17,47.05,0,0,1,2,0,NewZealand
AF Milne,2012-2016,5,2,2,2,2*,-,2,100.00,0,0,0,0,0,NewZealand
C Munro,2014-2016,7,6,0,125,46,20.83,111,112.61,0,0,0,12,4,NewZealand
JDS Neesham,2014-2014,2,2,1,7,7*,7.00,8,87.50,0,0,1,0,0,NewZealand
HM Nicholls,2016-2016,1,1,0,7,7,7.00,11,63.63,0,0,0,1,0,NewZealand
RJ Nicol,2012-2012,5,4,0,105,58,26.25,88,119.31,0,1,0,7,5,NewZealand
IE O'Brien,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
JDP Oram,2007-2012,18,15,1,189,35,13.50,143,132.16,0,0,1,14,8,NewZealand
JS Patel,2007-2007,2,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,NewZealand
AJ Redmond,2009-2010,4,4,0,117,63,29.25,72,162.50,0,1,0,18,2,NewZealand
L Ronchi,2014-2016,9,7,2,57,21*,11.40,40,142.50,0,0,0,4,2,NewZealand
JD Ryder,2009-2010,6,6,0,124,42,20.66,97,127.83,0,0,0,11,6,NewZealand
MJ Santner,2016-2016,5,4,0,29,18,7.25,27,107.40,0,0,0,3,0,NewZealand
IS Sodhi,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
TG Southee,2010-2014,10,3,2,1,1,1.00,3,33.33,0,0,0,0,0,NewZealand
SB Styris,2007-2010,16,14,2,233,42,19.41,196,118.87,0,0,0,10,12,NewZealand
LRPL Taylor,2007-2016,28,25,5,562,62*,28.10,440,127.72,0,3,1,32,23,NewZealand
DL Vettori,2007-2012,17,12,3,134,38,14.88,113,118.58,0,0,1,10,2,NewZealand
L Vincent,2007-2007,6,6,0,117,32,19.50,116,100.86,0,0,0,11,2,NewZealand
KS Williamson,2012-2016,13,12,1,305,51,27.72,274,111.31,0,1,0,37,4,NewZealand
Abdul Razzaq,2009-2012,11,10,4,123,29,20.50,111,110.81,0,0,0,3,7,Pakistan
Abdur Rehman,2010-2010,3,2,1,4,2*,4.00,4,100.00,0,0,0,0,0,Pakistan
Ahmed Shehzad,2009-2016,9,9,1,250,111*,31.25,197,126.90,1,1,1,27,5,Pakistan
Bilawal Bhatti,2014-2014,2,1,1,0,0*,-,0,-,0,0,0,0,0,Pakistan
Fawad Alam,2007-2010,10,4,1,32,16,10.66,27,118.51,0,0,0,2,1,Pakistan
Imad Wasim,2016-2016,3,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,Pakistan
Imran Nazir,2007-2012,13,13,1,300,72,25.00,200,150.00,0,2,0,37,13,Pakistan
Junaid Khan,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan
Kamran Akmal,2007-2014,30,28,3,524,73,20.96,452,115.92,0,3,3,50,16,Pakistan
Khalid Latif,2010-2016,4,4,0,69,46,17.25,63,109.52,0,0,0,6,2,Pakistan
Misbah-ul-Haq,2007-2010,20,17,5,368,66*,30.66,296,124.32,0,2,1,23,14,Pakistan
Mohammad Amir,2009-2016,17,3,0,5,3,1.66,10,50.00,0,0,1,0,0,Pakistan
Mohammad Asif,2007-2010,8,2,2,4,4*,-,1,400.00,0,0,0,1,0,Pakistan
Mohammad Hafeez,2007-2016,24,22,1,426,64,20.28,405,105.18,0,1,0,46,9,Pakistan
Mohammad Irfan,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan
Mohammad Sami,2010-2016,6,2,2,9,5*,-,7,128.57,0,0,0,1,0,Pakistan
Nasir Jamshed,2012-2012,6,6,1,148,56,29.60,110,134.54,0,2,1,8,8,Pakistan
Raza Hasan,2012-2012,4,1,1,0,0*,-,0,-,0,0,0,0,0,Pakistan
Saeed Ajmal,2009-2014,23,6,3,23,13*,7.66,17,135.29,0,0,0,2,1,Pakistan
Salman Butt,2007-2010,14,14,1,343,73,26.38,314,109.23,0,2,1,40,5,Pakistan
Sarfaraz Ahmed,2016-2016,4,3,2,21,11*,21.00,17,123.52,0,0,0,1,0,Pakistan
Shahid Afridi,2007-2016,34,32,3,546,54*,18.82,354,154.23,0,2,5,49,21,Pakistan
Shahzaib Hasan,2009-2009,4,4,0,77,35,19.25,72,106.94,0,0,1,10,3,Pakistan
Sharjeel Khan,2016-2016,4,4,0,112,47,28.00,78,143.58,0,0,0,18,3,Pakistan
Shoaib Malik,2007-2016,28,27,10,546,57,32.11,469,116.41,0,2,0,43,9,Pakistan
Sohaib Maqsood,2014-2014,4,4,1,45,21,15.00,41,109.75,0,0,0,3,2,Pakistan
Sohail Tanvir,2007-2014,13,4,0,37,14,9.25,36,102.77,0,0,0,2,3,Pakistan
Umar Akmal,2010-2016,20,18,4,486,94,34.71,367,132.42,0,3,3,32,19,Pakistan
Umar Gul,2007-2014,24,8,4,67,32,16.75,52,128.84,0,0,1,4,5,Pakistan
Wahab Riaz,2016-2016,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Pakistan
Yasir Arafat,2007-2012,8,6,1,59,17,11.80,46,128.26,0,0,0,6,1,Pakistan
Younis Khan,2007-2009,14,13,3,299,51,29.90,241,124.06,0,2,0,21,8,Pakistan
Zulfiqar Babar,2014-2014,3,1,1,3,3*,-,4,75.00,0,0,0,0,0,Pakistan
RD Berrington,2016-2016,3,2,0,44,36,22.00,49,89.79,0,0,0,1,1,Scotland
JAR Blain,2007-2007,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Scotland
DR Brown,2007-2007,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0,Scotland
KJ Coetzer,2009-2016,5,5,1,138,42,34.50,97,142.26,0,0,0,10,6,Scotland
MH Cross,2016-2016,3,3,1,24,22,12.00,17,141.17,0,0,1,1,2,Scotland
JH Davey,2016-2016,3,1,0,24,24,24.00,13,184.61,0,0,0,1,2,Scotland
CD de Lange,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
GD Drummond,2009-2009,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Scotland
AC Evans,2016-2016,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Scotland
GM Hamilton,2007-2009,4,2,0,7,5,3.50,10,70.00,0,0,0,1,0,Scotland
RM Haq,2007-2009,3,2,0,29,15,14.50,51,56.86,0,0,0,0,0,Scotland
MA Leask,2016-2016,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0,Scotland
NFI McCallum,2007-2009,4,2,0,8,8,4.00,18,44.44,0,0,1,1,0,Scotland
MW Machan,2016-2016,3,3,1,60,36,30.00,41,146.34,0,0,0,3,2,Scotland
CS MacLeod,2009-2016,3,2,0,2,2,1.00,6,33.33,0,0,1,0,0,Scotland
GT Main,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
PL Mommsen,2016-2016,3,2,1,48,31,48.00,46,104.34,0,0,0,2,0,Scotland
HG Munsey,2016-2016,3,3,0,68,41,22.66,46,147.82,0,0,0,15,0,Scotland
JD Nel,2007-2007,2,1,1,13,13*,-,7,185.71,0,0,0,2,0,Scotland
NS Poonia,2007-2009,4,3,0,31,27,10.33,22,140.90,0,0,1,2,1,Scotland
GA Rogers,2009-2009,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,Scotland
SM Sharif,2016-2016,2,1,0,1,1,1.00,3,33.33,0,0,0,0,0,Scotland
CJO Smith,2007-2009,4,3,0,11,11,3.66,9,122.22,0,0,2,2,0,Scotland
JH Stander,2009-2009,2,2,1,2,2,2.00,7,28.57,0,0,0,0,0,Scotland
RML Taylor,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
RR Watson,2007-2009,4,3,0,33,27,11.00,18,183.33,0,0,0,7,0,Scotland
MRJ Watt,2016-2016,3,1,1,9,9*,-,5,180.00,0,0,0,1,0,Scotland
DF Watts,2007-2009,3,1,0,46,46,46.00,35,131.42,0,0,0,9,0,Scotland
CM Wright,2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0,Scotland
KJ Abbott,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
HM Amla,2012-2016,14,14,2,376,58,31.33,295,127.45,0,3,1,42,8,SouthAfrica
F Behardien,2012-2016,8,4,1,67,31*,22.33,64,104.68,0,0,0,5,1,SouthAfrica
LE Bosman,2010-2010,2,2,0,8,8,4.00,15,53.33,0,0,1,0,0,SouthAfrica
J Botha,2009-2012,14,6,3,49,19,16.33,31,158.06,0,0,0,5,2,SouthAfrica
MV Boucher,2007-2010,16,13,4,153,36,17.00,163,93.86,0,0,0,11,1,SouthAfrica
Q de Kock,2014-2016,9,9,0,217,52,24.11,172,126.16,0,1,1,25,7,SouthAfrica
AB de Villiers,2007-2016,30,29,5,717,79*,29.87,500,143.40,0,5,0,51,30,SouthAfrica
JP Duminy,2007-2016,25,23,9,568,86*,40.57,438,129.68,0,2,2,37,23,SouthAfrica
F du Plessis,2012-2016,9,9,0,271,65,30.11,199,136.18,0,2,0,27,7,SouthAfrica
HH Gibbs,2007-2010,12,12,1,265,90*,24.09,211,125.59,0,2,0,32,6,SouthAfrica
BE Hendricks,2014-2014,3,1,0,3,3,3.00,4,75.00,0,0,0,0,0,SouthAfrica
Imran Tahir,2014-2016,9,2,2,17,9*,-,11,154.54,0,0,0,1,1,SouthAfrica
JH Kallis,2009-2012,15,13,1,433,73,36.08,368,117.66,0,3,0,36,13,SouthAfrica
JM Kemp,2007-2007,5,5,3,173,89*,86.50,124,139.51,0,1,0,13,10,SouthAfrica
RK Kleinveldt,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
CK Langeveldt,2010-2010,4,1,1,2,2*,-,3,66.66,0,0,0,0,0,SouthAfrica
RE Levi,2012-2012,4,4,1,62,50*,20.66,60,103.33,0,1,1,7,0,SouthAfrica
DA Miller,2014-2016,9,8,2,132,28*,22.00,91,145.05,0,0,0,10,5,SouthAfrica
JA Morkel,2007-2014,25,20,5,308,43,20.53,216,142.59,0,0,1,15,20,SouthAfrica
M Morkel,2007-2014,17,4,2,8,6,4.00,8,100.00,0,0,0,0,1,SouthAfrica
CH Morris,2016-2016,3,1,1,16,16*,-,17,94.11,0,0,0,2,0,SouthAfrica
A Nel,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
M Ntini,2007-2007,4,1,1,4,4*,-,2,200.00,0,0,0,1,0,SouthAfrica
WD Parnell,2009-2014,9,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
RJ Peterson,2012-2012,4,3,2,45,32*,45.00,33,136.36,0,0,0,7,0,SouthAfrica
AM Phangiso,2016-2016,2,1,0,4,4,4.00,5,80.00,0,0,0,0,0,SouthAfrica
VD Philander,2007-2007,5,2,0,8,6,4.00,12,66.66,0,0,0,0,0,SouthAfrica
SM Pollock,2007-2007,5,3,1,16,16*,8.00,13,123.07,0,0,2,0,1,SouthAfrica
K Rabada,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
RR Rossouw,2016-2016,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,SouthAfrica
GC Smith,2007-2010,16,16,0,352,41,22.00,306,115.03,0,0,0,46,5,SouthAfrica
DW Steyn,2009-2016,23,6,3,12,5,4.00,14,85.71,0,0,1,1,0,SouthAfrica
LL Tsotsobe,2014-2014,3,1,1,1,1*,-,2,50.00,0,0,0,0,0,SouthAfrica
RE van der Merwe,2009-2010,9,4,2,5,2*,2.50,17,29.41,0,0,1,0,0,SouthAfrica
JJ van der Wath,2007-2007,5,2,1,11,9*,11.00,11,100.00,0,0,0,1,0,SouthAfrica
D Wiese,2016-2016,3,2,1,28,28,28.00,26,107.69,0,0,0,2,0,SouthAfrica
PVD Chameera,2016-2016,3,1,1,0,0*,-,0,-,0,0,0,0,0,SriLanka
LD Chandimal,2010-2016,10,8,0,125,29,15.62,122,102.45,0,0,0,8,5,SriLanka
A Dananjaya,2012-2012,3,1,1,0,0*,-,0,-,0,0,0,0,0,SriLanka
TM Dilshan,2007-2016,35,34,5,897,96*,30.93,723,124.06,0,6,5,101,20,SriLanka
CRD Fernando,2007-2007,5,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,SriLanka
HMRKB Herath,2012-2016,10,4,1,7,3,2.33,11,63.63,0,0,0,0,0,SriLanka
CU Jayasinghe,2010-2010,2,1,1,2,2*,-,1,200.00,0,0,0,0,0,SriLanka
GSNFG Jayasuriya,2016-2016,2,1,0,1,1,1.00,3,33.33,0,0,0,0,0,SriLanka
ST Jayasuriya,2007-2010,18,18,2,346,88,21.62,285,121.40,0,3,4,40,12,SriLanka
DPMD Jayawardene,2007-2014,31,31,5,1016,100,39.07,754,134.74,1,6,1,111,25,SriLanka
S Randiv,2010-2010,4,1,0,2,2,2.00,2,100.00,0,0,0,0,0,SriLanka
CK Kapugedera,2010-2016,10,10,1,145,37*,16.11,131,110.68,0,0,0,10,7,SriLanka
KMDN Kulasekara,2009-2016,18,7,2,42,26,8.40,32,131.25,0,0,2,4,1,SriLanka
RAS Lakmal,2016-2016,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,SriLanka
MF Maharoof,2007-2007,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,SriLanka
SL Malinga,2007-2014,31,8,4,24,12*,6.00,40,60.00,0,0,1,0,1,SriLanka
AD Mathews,2009-2016,29,22,10,459,73*,38.25,354,129.66,0,2,0,30,16,SriLanka
BAW Mendis,2009-2014,21,3,1,6,4*,3.00,10,60.00,0,0,0,1,0,SriLanka
BMAJ Mendis,2012-2012,7,6,2,94,43*,23.50,78,120.51,0,0,0,9,2,SriLanka
J Mubarak,2007-2009,12,11,4,161,46*,23.00,110,146.36,0,0,2,12,8,SriLanka
EMDY Munaweera,2012-2012,2,2,0,30,17,15.00,33,90.90,0,0,0,4,0,SriLanka
M Muralitharan,2009-2010,9,1,0,0,0,0.00,1,0.00,0,0,1,0,0,SriLanka
MDKJ Perera,2014-2014,6,6,0,125,61,20.83,83,150.60,0,1,0,12,7,SriLanka
NLTC Perera,2010-2016,20,17,7,232,40,23.20,163,142.33,0,0,0,17,13,SriLanka
S Prasanna,2014-2014,1,1,1,6,6*,-,5,120.00,0,0,0,0,0,SriLanka
KC Sangakkara,2007-2014,31,30,4,661,68,25.42,589,112.22,0,4,2,63,11,SriLanka
SMSM Senanayake,2014-2014,6,2,1,18,17,18.00,12,150.00,0,0,0,1,1,SriLanka
MD Shanaka,2016-2016,2,2,1,35,20*,35.00,27,129.62,0,0,0,3,2,SriLanka
LPC Silva,2007-2009,12,12,1,138,38,12.54,132,104.54,0,0,0,17,2,SriLanka
TAM Siriwardana,2016-2016,4,3,0,22,15,7.33,20,110.00,0,0,1,2,1,SriLanka
WU Tharanga,2007-2007,5,5,0,74,37,14.80,60,123.33,0,0,1,6,2,SriLanka
HDRL Thirimanne,2012-2016,14,11,1,112,44,11.20,111,100.90,0,0,1,11,3,SriLanka
T Thushara,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
I Udana,2009-2009,5,1,0,1,1,1.00,5,20.00,0,0,0,0,0,SriLanka
WPUJC Vaas,2007-2007,5,2,1,33,21,33.00,41,80.48,0,0,0,1,0,SriLanka
JDF Vandersay,2016-2016,3,3,2,3,3,3.00,8,37.50,0,0,0,0,0,SriLanka
UWMBCA Welegedara,2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,SriLanka
G Wijekoon,2007-2007,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0,SriLanka
S Badree,2012-2016,15,2,1,3,2*,3.00,6,50.00,0,0,0,0,0,WestIndies
SJ Benn,2009-2016,16,4,2,28,13*,14.00,33,84.84,0,0,1,3,1,WestIndies
CR Brathwaite,2016-2016,6,3,2,57,34*,57.00,28,203.57,0,0,0,1,7,WestIndies
DJ Bravo,2007-2016,29,25,4,504,66*,24.00,390,129.23,0,2,3,33,24,WestIndies
DM Bravo,2012-2012,2,1,0,16,16,16.00,21,76.19,0,0,0,0,1,WestIndies
S Chanderpaul,2007-2010,13,13,4,186,37,20.66,169,110.05,0,0,0,18,4,WestIndies
J Charles,2012-2016,13,12,0,247,84,20.58,224,110.26,0,2,2,29,9,WestIndies
N Deonarine,2010-2010,3,2,0,10,10,5.00,18,55.55,0,0,1,0,0,WestIndies
FH Edwards,2007-2012,9,1,1,2,2*,-,2,100.00,0,0,0,0,0,WestIndies
ADS Fletcher,2009-2016,11,11,3,219,84*,27.37,191,114.65,0,2,3,20,8,WestIndies
CH Gayle,2007-2016,28,26,3,920,117,40.00,627,146.73,2,7,1,75,60,WestIndies
WW Hinds,2010-2010,2,2,1,5,5,5.00,7,71.42,0,0,0,1,0,WestIndies
E Lewis,2016-2016,1,1,0,0,0,0.00,7,0.00,0,0,1,0,0,WestIndies
XM Marshall,2009-2009,3,3,0,22,14,7.33,24,91.66,0,0,1,1,0,WestIndies
NO Miller,2010-2010,3,2,2,12,10*,-,15,80.00,0,0,0,0,0,WestIndies
SP Narine,2012-2014,12,3,2,14,7*,14.00,7,200.00,0,0,0,1,1,WestIndies
KA Pollard,2009-2012,18,15,1,164,38,11.71,132,124.24,0,0,1,15,7,WestIndies
DBL Powell,2007-2007,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,WestIndies
D Ramdin,2007-2016,29,17,5,80,18,6.66,96,83.33,0,0,1,6,0,WestIndies
R Rampaul,2007-2012,11,3,2,9,8,9.00,11,81.81,0,0,0,0,0,WestIndies
KAJ Roach,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,-,WestIndies
AD Russell,2012-2016,17,13,6,133,43*,19.00,96,138.54,0,0,2,10,8,WestIndies
DJG Sammy,2009-2016,25,18,6,215,42*,17.91,131,164.12,0,0,2,21,9,WestIndies
MN Samuels,2007-2016,20,19,2,530,85*,31.17,458,115.72,0,4,0,49,21,WestIndies
K Santokie,2014-2014,5,-,-,-,-,-,-,-,-,-,-,-,-,WestIndies
RR Sarwan,2007-2010,13,11,3,163,28*,20.37,166,98.19,0,0,1,10,1,WestIndies
LMP Simmons,2009-2016,12,12,1,320,82*,29.09,244,131.14,0,2,4,35,10,WestIndies
DR Smith,2007-2014,8,8,0,157,72,19.62,134,117.16,0,1,0,20,8,WestIndies
DS Smith,2007-2007,2,2,0,86,51,43.00,86,100.00,0,1,0,9,0,WestIndies
JE Taylor,2009-2016,10,4,1,21,16*,7.00,19,110.52,0,0,1,2,0,WestIndies
AM Blignaut,2010-2010,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0,Zimbabwe
GB Brent,2007-2007,2,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
TL Chatara,2014-2016,6,1,0,8,8,8.00,7,114.28,0,0,0,1,0,Zimbabwe
CJ Chibhabha,2007-2007,2,2,0,20,15,10.00,22,90.90,0,0,0,3,0,Zimbabwe
E Chigumbura,2007-2016,12,11,4,169,53*,24.14,108,156.48,0,1,2,8,12,Zimbabwe
CK Coventry,2010-2010,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Zimbabwe
AG Cremer,2010-2012,4,3,0,23,17,7.66,32,71.87,0,0,1,2,0,Zimbabwe
KM Dabengwa,2007-2007,2,1,1,0,0*,-,0,-,0,0,0,0,0,Zimbabwe
CR Ervine,2010-2012,4,3,0,48,37,16.00,58,82.75,0,0,0,4,1,Zimbabwe
KM Jarvis,2012-2012,2,2,1,9,9*,9.00,14,64.28,0,0,1,0,0,Zimbabwe
TP Kamungozi,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
GA Lamb,2010-2010,2,1,1,14,14*,-,21,66.66,0,0,0,0,0,Zimbabwe
T Maruma,2010-2014,4,4,3,39,22*,39.00,34,114.70,0,0,0,3,1,Zimbabwe
H Masakadza,2007-2016,12,12,0,213,43,17.75,213,100.00,0,0,0,21,3,Zimbabwe
WP Masakadza,2016-2016,3,3,1,12,6,6.00,18,66.66,0,0,0,1,0,Zimbabwe
S Matsikenyeri,2007-2012,3,3,0,16,11,5.33,32,50.00,0,0,0,0,0,Zimbabwe
CB Mpofu,2010-2012,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Zimbabwe
T Mupariwa,2007-2007,2,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
N M'shangwe,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
R Mutumbami,2016-2016,3,3,0,29,19,9.66,32,90.62,0,0,1,4,1,Zimbabwe
T Panyangara,2014-2016,6,2,2,17,17*,-,8,212.50,0,0,0,0,2,Zimbabwe
RW Price,2010-2012,3,2,1,9,7*,9.00,10,90.00,0,0,0,1,0,Zimbabwe
V Sibanda,2007-2016,10,10,1,180,59,20.00,178,101.12,0,1,1,17,4,Zimbabwe
Sikandar Raza,2014-2016,6,6,0,59,15,9.83,64,92.18,0,0,0,6,0,Zimbabwe
T Taibu,2007-2010,4,4,1,35,21,11.66,37,94.59,0,0,1,3,0,Zimbabwe
BRM Taylor,2007-2014,8,8,2,245,60*,40.83,192,127.60,0,2,1,18,8,Zimbabwe
DT Tiripano,2016-2016,3,2,0,2,2,1.00,6,33.33,0,0,1,0,0,Zimbabwe
P Utseya,2007-2014,9,4,1,19,13*,6.33,22,86.36,0,0,1,1,0,Zimbabwe
BV Vitori,2012-2012,2,1,1,7,7*,-,4,175.00,0,0,0,0,0,Zimbabwe
MN Waller,2012-2016,4,4,0,46,26,11.50,54,85.18,0,0,1,2,0,Zimbabwe
SC Williams,2014-2016,6,6,0,120,53,20.00,89,134.83,0,1,1,12,1,Zimbabwe
