Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
DLS van Bunge,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
T van der Gugten,2014-2016,10,9,30.0,0,207,13,3/21,15.92,6.90,13.8,0,0,1,0,Netherlands
RE van der Merwe,2016-2016,3,2,4.0,0,31,3,2/3,10.33,7.75,8.0,0,0,1,0,Netherlands
PA van Meekeren,2016-2016,3,2,6.0,0,28,6,4/11,4.66,4.66,6.0,1,0,0,0,Netherlands
B Zuiderent,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
CJ Anderson,2014-2016,9,9,24.0,0,176,6,2/28,29.33,7.33,24.0,0,0,6,0,NewZealand
SE Bond,2007-2010,11,11,43.0,1,325,12,2/12,27.08,7.55,21.5,0,0,1,0,NewZealand
TA Boult,2014-2014,2,2,8.0,0,45,4,3/20,11.25,5.62,12.0,0,0,0,0,NewZealand
DAJ Bracewell,2012-2012,2,2,4.5,0,39,4,3/31,9.75,8.06,7.2,0,0,2,0,NewZealand
NT Broom,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
IG Butler,2009-2010,7,7,18.0,1,127,9,3/19,14.11,7.05,12.0,0,0,1,0,NewZealand
BJ Diamanti,2009-2009,1,1,2.0,0,19,0,-,-,9.50,-,0,0,0,0,NewZealand
GD Elliott,2016-2016,5,5,13.0,0,75,3,3/12,25.00,5.76,26.0,0,0,1,0,NewZealand
JEC Franklin,2009-2012,8,6,12.0,0,101,3,2/34,33.66,8.41,24.0,0,0,5,0,NewZealand
PG Fulton,2007-2007,5,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand
MR Gillespie,2007-2007,6,6,19.5,1,156,6,4/7,26.00,7.86,19.8,1,0,0,0,NewZealand
MJ Guptill,2009-2016,21,-,-,-,-,-,-,-,-,-,-,-,15,0,NewZealand
RM Hira,2012-2012,1,1,4.0,0,24,1,1/24,24.00,6.00,24.0,0,0,0,0,NewZealand
GJ Hopkins,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,2,1,NewZealand
MJ McClenaghan,2014-2016,8,8,27.0,0,192,8,3/17,24.00,7.11,20.2,0,0,1,0,NewZealand
BB McCullum,2007-2014,25,-,-,-,-,-,-,-,-,-,-,-,13,1,NewZealand
NL McCullum,2007-2016,22,20,67.1,0,399,23,3/15,17.34,5.94,17.5,0,0,13,0,NewZealand
PD McGlashan,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand
CD McMillan,2007-2007,6,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
CS Martin,2007-2007,4,4,15.0,1,114,4,2/14,28.50,7.60,22.5,0,0,1,0,NewZealand
KD Mills,2009-2014,15,15,52.5,0,426,16,3/33,26.62,8.06,19.8,0,0,1,0,NewZealand
AF Milne,2012-2016,5,5,12.1,0,95,3,2/26,31.66,7.80,24.3,0,0,1,0,NewZealand
C Munro,2014-2016,7,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
JDS Neesham,2014-2014,2,2,4.2,0,31,3,3/22,10.33,7.15,8.6,0,0,0,0,NewZealand
HM Nicholls,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
RJ Nicol,2012-2012,5,1,3.0,0,29,0,-,-,9.66,-,0,0,1,0,NewZealand
IE O'Brien,2009-2009,1,1,1.0,0,16,0,-,-,16.00,-,0,0,0,0,NewZealand
JDP Oram,2007-2012,18,17,45.3,0,424,8,2/44,53.00,9.31,34.1,0,0,5,0,NewZealand
JS Patel,2007-2007,2,2,6.5,0,69,2,1/31,34.50,10.09,20.5,0,0,0,0,NewZealand
AJ Redmond,2009-2010,4,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
L Ronchi,2014-2016,9,-,-,-,-,-,-,-,-,-,-,-,7,5,NewZealand
JD Ryder,2009-2010,6,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0,NewZealand
MJ Santner,2016-2016,5,5,18.1,0,114,10,4/11,11.40,6.27,10.9,1,0,1,0,NewZealand
IS Sodhi,2016-2016,5,5,19.4,0,120,10,3/18,12.00,6.10,11.8,0,0,1,0,NewZealand
TG Southee,2010-2014,10,10,35.0,1,314,14,3/16,22.42,8.97,15.0,0,0,4,0,NewZealand
SB Styris,2007-2010,16,11,26.0,0,170,10,3/5,17.00,6.53,15.6,0,0,3,0,NewZealand
LRPL Taylor,2007-2016,28,-,-,-,-,-,-,-,-,-,-,-,14,0,NewZealand
DL Vettori,2007-2012,17,17,67.1,0,392,20,4/20,19.60,5.83,20.1,1,0,4,0,NewZealand
L Vincent,2007-2007,6,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
KS Williamson,2012-2016,13,3,3.0,0,33,0,-,-,11.00,-,0,0,9,0,NewZealand
Abdul Razzaq,2009-2012,11,8,22.3,1,157,7,3/20,22.42,6.97,19.2,0,0,1,0,Pakistan
Abdur Rehman,2010-2010,3,3,11.0,0,87,6,2/19,14.50,7.90,11.0,0,0,4,0,Pakistan
Ahmed Shehzad,2009-2016,9,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan
Bilawal Bhatti,2014-2014,2,2,4.0,0,53,3,2/36,17.66,13.25,8.0,0,0,0,0,Pakistan
Fawad Alam,2007-2010,10,2,4.0,0,44,2,2/29,22.00,11.00,12.0,0,0,4,0,Pakistan
Imad Wasim,2016-2016,3,3,10.0,0,70,3,2/31,23.33,7.00,20.0,0,0,1,0,Pakistan
Imran Nazir,2007-2012,13,-,-,-,-,-,-,-,-,-,-,-,6,0,Pakistan
Junaid Khan,2014-2014,1,1,3.0,0,23,0,-,-,7.66,-,0,0,0,0,Pakistan
Kamran Akmal,2007-2014,30,-,-,-,-,-,-,-,-,-,-,-,12,18,Pakistan
Khalid Latif,2010-2016,4,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan
Misbah-ul-Haq,2007-2010,20,-,-,-,-,-,-,-,-,-,-,-,5,0,Pakistan
Mohammad Amir,2009-2016,17,17,62.0,3,445,17,3/23,26.17,7.17,21.8,0,0,4,0,Pakistan
Mohammad Asif,2007-2010,8,8,30.5,0,255,10,4/18,25.50,8.27,18.5,1,0,3,0,Pakistan
Mohammad Hafeez,2007-2016,24,22,61.0,0,456,13,2/22,35.07,7.47,28.1,0,0,8,0,Pakistan
Mohammad Irfan,2016-2016,3,3,10.5,0,101,2,1/30,50.50,9.32,32.5,0,0,0,0,Pakistan
Mohammad Sami,2010-2016,6,6,21.0,0,201,10,3/29,20.10,9.57,12.6,0,0,3,0,Pakistan
Nasir Jamshed,2012-2012,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan
Raza Hasan,2012-2012,4,4,15.0,1,74,3,2/14,24.66,4.93,30.0,0,0,2,0,Pakistan
Saeed Ajmal,2009-2014,23,23,89.2,1,607,36,4/19,16.86,6.79,14.8,3,0,6,0,Pakistan
Salman Butt,2007-2010,14,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan
Sarfaraz Ahmed,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan
Shahid Afridi,2007-2016,34,34,135.0,1,907,39,4/11,23.25,6.71,20.7,2,0,8,0,Pakistan
Shahzaib Hasan,2009-2009,4,-,-,-,-,-,-,-,-,-,-,-,3,0,Pakistan
Sharjeel Khan,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan
Shoaib Malik,2007-2016,28,12,18.0,0,141,3,2/15,47.00,7.83,36.0,0,0,12,0,Pakistan
Sohaib Maqsood,2014-2014,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Pakistan
Sohail Tanvir,2007-2014,13,13,44.0,0,325,9,3/31,36.11,7.38,29.3,0,0,2,0,Pakistan
Umar Akmal,2010-2016,20,-,-,-,-,-,-,-,-,-,-,-,11,0,Pakistan
Umar Gul,2007-2014,24,24,82.4,0,604,35,5/6,17.25,7.30,14.1,1,1,7,0,Pakistan
Wahab Riaz,2016-2016,3,3,10.0,0,82,3,2/35,27.33,8.20,20.0,0,0,0,0,Pakistan
Yasir Arafat,2007-2012,8,8,21.0,0,187,6,3/25,31.16,8.90,21.0,0,0,1,0,Pakistan
Younis Khan,2007-2009,14,-,-,-,-,-,-,-,-,-,-,-,8,0,Pakistan
Zulfiqar Babar,2014-2014,3,3,11.0,0,77,4,2/26,19.25,7.00,16.5,0,0,0,0,Pakistan
RD Berrington,2016-2016,3,2,4.0,0,29,0,-,-,7.25,-,0,0,0,0,Scotland
JAR Blain,2007-2007,2,1,4.0,0,23,2,2/23,11.50,5.75,12.0,0,0,0,0,Scotland
DR Brown,2007-2007,2,1,4.0,0,44,0,-,-,11.00,-,0,0,0,0,Scotland
KJ Coetzer,2009-2016,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Scotland
MH Cross,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,0,1,Scotland
JH Davey,2016-2016,3,3,11.0,0,87,2,1/22,43.50,7.90,33.0,0,0,3,0,Scotland
CD de Lange,2016-2016,1,1,4.0,0,19,1,1/19,19.00,4.75,24.0,0,0,0,0,Scotland
GD Drummond,2009-2009,2,2,6.0,0,65,2,2/40,32.50,10.83,18.0,0,0,0,0,Scotland
AC Evans,2016-2016,2,2,8.0,0,54,3,2/30,18.00,6.75,16.0,0,0,1,0,Scotland
GM Hamilton,2007-2009,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Scotland
RM Haq,2007-2009,3,2,8.0,0,74,4,2/25,18.50,9.25,12.0,0,0,2,0,Scotland
MA Leask,2016-2016,1,1,4.0,0,36,0,-,-,9.00,-,0,0,2,0,Scotland
NFI McCallum,2007-2009,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Scotland
MW Machan,2016-2016,3,2,6.0,0,48,2,2/26,24.00,8.00,18.0,0,0,2,0,Scotland
CS MacLeod,2009-2016,3,2,5.0,0,56,0,-,-,11.20,-,0,0,2,0,Scotland
GT Main,2016-2016,1,1,1.0,0,13,1,1/13,13.00,13.00,6.0,0,0,1,0,Scotland
PL Mommsen,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Scotland
HG Munsey,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Scotland
JD Nel,2007-2007,2,1,4.0,1,25,2,2/25,12.50,6.25,12.0,0,0,0,0,Scotland
NS Poonia,2007-2009,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Scotland
GA Rogers,2009-2009,1,1,4.0,0,52,0,-,-,13.00,-,0,0,0,0,Scotland
SM Sharif,2016-2016,2,2,8.0,0,60,2,2/31,30.00,7.50,24.0,0,0,0,0,Scotland
CJO Smith,2007-2009,4,-,-,-,-,-,-,-,-,-,-,-,1,2,Scotland
JH Stander,2009-2009,2,2,2.0,0,43,0,-,-,21.50,-,0,0,1,0,Scotland
RML Taylor,2016-2016,1,1,2.0,0,12,0,-,-,6.00,-,0,0,0,0,Scotland
RR Watson,2007-2009,4,2,4.0,0,40,2,1/4,20.00,10.00,12.0,0,0,0,0,Scotland
MRJ Watt,2016-2016,3,3,12.0,0,72,4,2/21,18.00,6.00,18.0,0,0,0,0,Scotland
DF Watts,2007-2009,3,-,-,-,-,-,-,-,-,-,-,-,2,0,Scotland
CM Wright,2007-2009,3,2,5.0,0,49,4,3/29,12.25,9.80,7.5,0,0,1,0,Scotland
KJ Abbott,2016-2016,3,3,11.1,0,91,7,3/41,13.00,8.14,9.5,0,0,0,0,SouthAfrica
HM Amla,2012-2016,14,-,-,-,-,-,-,-,-,-,-,-,1,0,SouthAfrica
F Behardien,2012-2016,8,1,3.0,0,15,2,2/15,7.50,5.00,9.0,0,0,3,0,SouthAfrica
LE Bosman,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,0,0,SouthAfrica
J Botha,2009-2012,14,14,40.4,1,265,11,3/16,24.09,6.51,22.1,0,0,3,0,SouthAfrica
MV Boucher,2007-2010,16,-,-,-,-,-,-,-,-,-,-,-,15,1,SouthAfrica
Q de Kock,2014-2016,9,-,-,-,-,-,-,-,-,-,-,-,11,4,SouthAfrica
AB de Villiers,2007-2016,30,-,-,-,-,-,-,-,-,-,-,-,30,2,SouthAfrica
JP Duminy,2007-2016,25,13,24.0,0,192,7,1/3,27.42,8.00,20.5,0,0,9,0,SouthAfrica
F du Plessis,2012-2016,9,1,1.0,0,3,0,-,-,3.00,-,0,0,6,0,SouthAfrica
HH Gibbs,2007-2010,12,-,-,-,-,-,-,-,-,-,-,-,6,0,SouthAfrica
BE Hendricks,2014-2014,3,3,11.4,0,97,4,2/31,24.25,8.31,17.5,0,0,0,0,SouthAfrica
Imran Tahir,2014-2016,9,9,36.0,0,214,18,4/21,11.88,5.94,12.0,1,0,0,0,SouthAfrica
JH Kallis,2009-2012,15,14,37.0,1,247,12,4/15,20.58,6.67,18.5,1,0,3,0,SouthAfrica
JM Kemp,2007-2007,5,-,-,-,-,-,-,-,-,-,-,-,2,0,SouthAfrica
RK Kleinveldt,2010-2010,1,1,4.0,0,48,2,2/48,24.00,12.00,12.0,0,0,0,0,SouthAfrica
CK Langeveldt,2010-2010,4,4,16.0,0,104,11,4/19,9.45,6.50,8.7,1,0,0,0,SouthAfrica
RE Levi,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,1,0,SouthAfrica
DA Miller,2014-2016,9,-,-,-,-,-,-,-,-,-,-,-,7,0,SouthAfrica
JA Morkel,2007-2014,25,23,46.4,1,404,10,2/12,40.40,8.65,28.0,0,0,8,0,SouthAfrica
M Morkel,2007-2014,17,17,62.4,0,452,24,4/17,18.83,7.21,15.6,2,0,1,0,SouthAfrica
CH Morris,2016-2016,3,3,11.0,0,98,5,4/27,19.60,8.90,13.2,1,0,1,0,SouthAfrica
A Nel,2007-2007,1,1,4.0,0,23,0,-,-,5.75,-,0,0,0,0,SouthAfrica
M Ntini,2007-2007,4,4,12.0,0,109,2,1/30,54.50,9.08,36.0,0,0,0,0,SouthAfrica
WD Parnell,2009-2014,9,9,29.5,0,207,13,4/13,15.92,6.93,13.7,1,0,1,0,SouthAfrica
RJ Peterson,2012-2012,4,4,13.0,1,89,5,2/15,17.80,6.84,15.6,0,0,2,0,SouthAfrica
AM Phangiso,2016-2016,2,2,8.0,0,45,3,2/26,15.00,5.62,16.0,0,0,0,0,SouthAfrica
VD Philander,2007-2007,5,5,13.0,0,104,4,2/23,26.00,8.00,19.5,0,0,1,0,SouthAfrica
SM Pollock,2007-2007,5,5,19.3,1,167,8,3/40,20.87,8.56,14.6,0,0,1,0,SouthAfrica
K Rabada,2016-2016,3,3,11.4,0,125,5,2/37,25.00,10.71,14.0,0,0,0,0,SouthAfrica
RR Rossouw,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0,SouthAfrica
GC Smith,2007-2010,16,1,1.0,0,16,0,-,-,16.00,-,0,0,9,0,SouthAfrica
DW Steyn,2009-2016,23,23,83.1,1,579,30,4/17,19.30,6.96,16.6,1,0,8,0,SouthAfrica
LL Tsotsobe,2014-2014,3,3,12.0,0,106,1,1/46,106.00,8.83,72.0,0,0,1,0,SouthAfrica
RE van der Merwe,2009-2010,9,9,31.0,0,202,11,2/14,18.36,6.51,16.9,0,0,5,0,SouthAfrica
JJ van der Wath,2007-2007,5,5,20.0,0,150,6,2/31,25.00,7.50,20.0,0,0,0,0,SouthAfrica
D Wiese,2016-2016,3,3,9.0,0,74,1,1/19,74.00,8.22,54.0,0,0,2,0,SouthAfrica
PVD Chameera,2016-2016,3,3,11.0,0,70,0,-,-,6.36,-,0,0,1,0,SriLanka
LD Chandimal,2010-2016,10,-,-,-,-,-,-,-,-,-,-,-,5,1,SriLanka
A Dananjaya,2012-2012,3,3,11.0,0,74,5,2/26,14.80,6.72,13.2,0,0,1,0,SriLanka
TM Dilshan,2007-2016,35,6,9.3,0,66,2,2/4,33.00,6.94,28.5,0,0,12,0,SriLanka
CRD Fernando,2007-2007,5,5,17.0,3,104,6,2/17,17.33,6.11,17.0,0,0,0,0,SriLanka
HMRKB Herath,2012-2016,10,10,35.3,3,214,13,5/3,16.46,6.02,16.3,0,1,0,0,SriLanka
CU Jayasinghe,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka
GSNFG Jayasuriya,2016-2016,2,1,1.0,0,9,0,-,-,9.00,-,0,0,0,0,SriLanka
ST Jayasuriya,2007-2010,18,14,31.5,0,256,7,2/4,36.57,8.04,27.2,0,0,3,0,SriLanka
DPMD Jayawardene,2007-2014,31,-,-,-,-,-,-,-,-,-,-,-,13,0,SriLanka
S Randiv,2010-2010,4,4,11.0,0,78,3,3/20,26.00,7.09,22.0,0,0,0,0,SriLanka
CK Kapugedera,2010-2016,10,-,-,-,-,-,-,-,-,-,-,-,3,0,SriLanka
KMDN Kulasekara,2009-2016,18,18,58.5,3,430,17,4/32,25.29,7.30,20.7,1,0,3,0,SriLanka
RAS Lakmal,2016-2016,1,1,3.4,0,28,1,1/28,28.00,7.63,22.0,0,0,0,0,SriLanka
MF Maharoof,2007-2007,2,2,5.0,0,50,1,1/16,50.00,10.00,30.0,0,0,0,0,SriLanka
SL Malinga,2007-2014,31,31,102.4,0,763,38,5/31,20.07,7.43,16.2,0,1,9,0,SriLanka
AD Mathews,2009-2016,29,27,74.2,2,481,19,3/16,25.31,6.47,23.4,0,0,8,0,SriLanka
BAW Mendis,2009-2014,21,21,78.3,3,526,35,6/8,15.02,6.70,13.4,1,1,2,0,SriLanka
BMAJ Mendis,2012-2012,7,5,11.0,0,74,5,3/24,14.80,6.72,13.2,0,0,3,0,SriLanka
J Mubarak,2007-2009,12,1,0.2,0,8,0,-,-,24.00,-,0,0,6,0,SriLanka
EMDY Munaweera,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka
M Muralitharan,2009-2010,9,9,35.0,0,209,11,3/29,19.00,5.97,19.0,0,0,0,0,SriLanka
MDKJ Perera,2014-2014,6,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka
NLTC Perera,2010-2016,20,12,22.2,0,201,7,3/33,28.71,9.00,19.1,0,0,4,0,SriLanka
S Prasanna,2014-2014,1,1,2.0,0,15,1,1/15,15.00,7.50,12.0,0,0,0,0,SriLanka
KC Sangakkara,2007-2014,31,-,-,-,-,-,-,-,-,-,-,-,12,14,SriLanka
SMSM Senanayake,2014-2014,6,5,17.0,0,83,4,2/3,20.75,4.88,25.5,0,0,2,0,SriLanka
MD Shanaka,2016-2016,2,2,3.0,0,32,0,-,-,10.66,-,0,0,0,0,SriLanka
LPC Silva,2007-2009,12,1,2.0,0,11,0,-,-,5.50,-,0,0,4,0,SriLanka
TAM Siriwardana,2016-2016,4,4,7.0,0,63,2,2/33,31.50,9.00,21.0,0,0,0,0,SriLanka
WU Tharanga,2007-2007,5,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka
HDRL Thirimanne,2012-2016,14,-,-,-,-,-,-,-,-,-,-,-,3,0,SriLanka
T Thushara,2010-2010,1,1,4.0,0,41,2,2/41,20.50,10.25,12.0,0,0,0,0,SriLanka
I Udana,2009-2009,5,5,18.0,0,164,5,2/17,32.80,9.11,21.6,0,0,1,0,SriLanka
WPUJC Vaas,2007-2007,5,5,18.0,1,100,5,2/14,20.00,5.55,21.6,0,0,0,0,SriLanka
JDF Vandersay,2016-2016,3,3,12.0,1,62,3,2/26,20.66,5.16,24.0,0,0,0,0,SriLanka
UWMBCA Welegedara,2010-2010,2,2,6.0,0,61,1,1/21,61.00,10.16,36.0,0,0,0,0,SriLanka
G Wijekoon,2007-2007,3,3,11.0,0,101,2,1/12,50.50,9.18,33.0,0,0,0,0,SriLanka
S Badree,2012-2016,15,15,59.0,1,326,24,4/15,13.58,5.52,14.7,1,0,6,0,WestIndies
SJ Benn,2009-2016,16,16,57.0,1,404,7,1/2,57.71,7.08,48.8,0,0,8,0,WestIndies
CR Brathwaite,2016-2016,6,6,18.0,0,145,4,3/23,36.25,8.05,27.0,0,0,1,0,WestIndies
DJ Bravo,2007-2016,29,23,72.4,0,645,25,4/38,25.80,8.87,17.4,1,0,15,0,WestIndies
DM Bravo,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies
S Chanderpaul,2007-2010,13,-,-,-,-,-,-,-,-,-,-,-,3,0,WestIndies
J Charles,2012-2016,13,-,-,-,-,-,-,-,-,-,-,-,4,0,WestIndies
N Deonarine,2010-2010,3,1,2.0,0,15,0,-,-,7.50,-,0,0,0,0,WestIndies
FH Edwards,2007-2012,9,9,27.0,0,246,9,3/24,27.33,9.11,18.0,0,0,1,0,WestIndies
ADS Fletcher,2009-2016,11,-,-,-,-,-,-,-,-,-,-,-,9,0,WestIndies
CH Gayle,2007-2016,28,16,34.4,0,258,9,2/17,28.66,7.44,23.1,0,0,11,0,WestIndies
WW Hinds,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies
E Lewis,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies
XM Marshall,2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies
NO Miller,2010-2010,3,3,12.0,0,63,2,1/18,31.50,5.25,36.0,0,0,0,0,WestIndies
SP Narine,2012-2014,12,12,44.4,1,231,15,3/9,15.40,5.17,17.8,0,0,0,0,WestIndies
KA Pollard,2009-2012,18,11,23.0,0,218,7,2/6,31.14,9.47,19.7,0,0,9,0,WestIndies
DBL Powell,2007-2007,2,2,7.0,0,62,0,-,-,8.85,-,0,0,1,0,WestIndies
D Ramdin,2007-2016,29,-,-,-,-,-,-,-,-,-,-,-,18,9,WestIndies
R Rampaul,2007-2012,11,11,37.5,1,345,15,3/16,23.00,9.11,15.1,0,0,1,0,WestIndies
KAJ Roach,2010-2010,3,3,12.0,0,77,5,2/27,15.40,6.41,14.4,0,0,0,0,WestIndies
AD Russell,2012-2016,17,14,39.1,0,333,15,2/10,22.20,8.50,15.6,0,0,4,0,WestIndies
DJG Sammy,2009-2016,25,19,44.4,0,308,11,3/8,28.00,6.89,24.3,0,0,13,0,WestIndies
MN Samuels,2007-2016,20,11,27.4,0,224,6,2/20,37.33,8.09,27.6,0,0,3,0,WestIndies
K Santokie,2014-2014,5,5,18.5,0,129,8,3/17,16.12,6.84,14.1,0,0,1,0,WestIndies
RR Sarwan,2007-2010,13,1,2.0,0,10,2,2/10,5.00,5.00,6.0,0,0,4,0,WestIndies
LMP Simmons,2009-2016,12,3,6.0,0,55,6,4/19,9.16,9.16,6.0,1,0,7,0,WestIndies
DR Smith,2007-2014,8,2,3.0,0,48,0,-,-,16.00,-,0,0,0,0,WestIndies
DS Smith,2007-2007,2,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies
JE Taylor,2009-2016,10,10,36.0,0,323,9,3/30,35.88,8.97,24.0,0,0,4,0,WestIndies
AM Blignaut,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe
GB Brent,2007-2007,2,2,7.0,0,53,2,2/19,26.50,7.57,21.0,0,0,0,0,Zimbabwe
TL Chatara,2014-2016,6,6,21.0,0,141,7,2/21,20.14,6.71,18.0,0,0,1,0,Zimbabwe
CJ Chibhabha,2007-2007,2,2,6.0,0,41,1,1/24,41.00,6.83,36.0,0,0,2,0,Zimbabwe
E Chigumbura,2007-2016,12,4,10.0,0,85,8,4/31,10.62,8.50,7.5,1,0,6,0,Zimbabwe
CK Coventry,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe
AG Cremer,2010-2012,4,3,9.0,0,60,2,1/23,30.00,6.66,27.0,0,0,1,0,Zimbabwe
KM Dabengwa,2007-2007,2,1,2.0,0,29,0,-,-,14.50,-,0,0,0,0,Zimbabwe
CR Ervine,2010-2012,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Zimbabwe
KM Jarvis,2012-2012,2,2,7.0,0,51,0,-,-,7.28,-,0,0,0,0,Zimbabwe
TP Kamungozi,2014-2014,1,1,2.0,0,17,0,-,-,8.50,-,0,0,0,0,Zimbabwe
GA Lamb,2010-2010,2,2,4.1,0,35,2,2/34,17.50,8.40,12.5,0,0,0,0,Zimbabwe
T Maruma,2010-2014,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Zimbabwe
H Masakadza,2007-2016,12,3,4.0,0,40,1,1/9,40.00,10.00,24.0,0,0,6,0,Zimbabwe
WP Masakadza,2016-2016,3,3,12.0,1,89,5,4/28,17.80,7.41,14.4,1,0,0,0,Zimbabwe
S Matsikenyeri,2007-2012,3,1,0.4,0,3,0,-,-,4.50,-,0,0,2,0,Zimbabwe
CB Mpofu,2010-2012,2,2,7.0,0,76,0,-,-,10.85,-,0,0,2,0,Zimbabwe
T Mupariwa,2007-2007,2,2,5.0,0,45,1,1/22,45.00,9.00,30.0,0,0,0,0,Zimbabwe
N M'shangwe,2014-2014,2,2,6.0,0,47,1,1/24,47.00,7.83,36.0,0,0,1,0,Zimbabwe
R Mutumbami,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,1,3,Zimbabwe
T Panyangara,2014-2016,6,6,23.0,1,177,9,4/37,19.66,7.69,15.3,1,0,2,0,Zimbabwe
RW Price,2010-2012,3,3,11.0,0,64,2,2/31,32.00,5.81,33.0,0,0,1,0,Zimbabwe
V Sibanda,2007-2016,10,-,-,-,-,-,-,-,-,-,-,-,3,0,Zimbabwe
Sikandar Raza,2014-2016,6,4,9.0,0,59,3,2/15,19.66,6.55,18.0,0,0,5,0,Zimbabwe
T Taibu,2007-2010,4,2,4.0,0,41,0,-,-,10.25,-,0,0,1,0,Zimbabwe
BRM Taylor,2007-2014,8,-,-,-,-,-,-,-,-,-,-,-,4,1,Zimbabwe
DT Tiripano,2016-2016,3,3,10.4,0,88,5,2/20,17.60,8.25,12.8,0,0,1,0,Zimbabwe
P Utseya,2007-2014,9,9,34.0,1,226,6,2/24,37.66,6.64,34.0,0,0,0,0,Zimbabwe
BV Vitori,2012-2012,2,2,5.0,0,48,0,-,-,9.60,-,0,0,0,0,Zimbabwe
MN Waller,2012-2016,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe
SC Williams,2014-2016,6,6,21.0,0,125,6,3/15,20.83,5.95,21.0,0,0,3,0,Zimbabwe
