Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
MO Odumbe,8,8,3,211,52*,42.20,204,103.43,0,1,1,18,2,Kenya,2003
RR Sarwan,5,5,3,209,75,104.50,218,95.87,0,1,0,23,4,WestIndies,2003
CH Gayle,6,6,0,206,119,34.33,295,69.83,1,1,1,22,2,WestIndies,2003
SO Tikolo,9,9,0,206,56,22.88,360,57.22,0,2,0,22,2,Kenya,2003
AJ Burger,6,6,0,199,85,33.16,198,100.50,0,1,0,25,3,Namibia,2003
S Chanderpaul,6,5,0,196,66,39.20,282,69.50,0,2,0,19,2,WestIndies,2003
G Kirsten,6,6,3,186,69,62.00,217,85.71,0,3,1,24,2,SouthAfrica,2003
KO Otieno,9,9,0,182,79,20.22,370,49.18,0,2,1,18,4,Kenya,2003
M Kaif,11,10,1,182,68*,20.22,316,57.59,0,1,1,16,1,India,2003
HP Tillakaratne,9,6,1,178,81*,35.60,305,58.36,0,1,0,17,0,SriLanka,2003
GW Flower,7,6,1,177,78*,35.40,225,78.66,0,1,0,14,2,Zimbabwe,2003
KC Sangakkara,10,9,2,176,39*,25.14,239,73.64,0,0,0,16,0,SriLanka,2003
Yousuf Youhana,6,6,0,170,58,28.33,221,76.92,0,1,1,12,0,Pakistan,2003
HH Streak,8,6,2,166,72*,41.50,169,98.22,0,1,1,15,4,Zimbabwe,2003
JF Kloppenburg,5,5,0,158,121,31.60,243,65.02,1,0,1,11,4,Netherlands,2003
A Flintoff,5,5,0,156,64,31.20,217,71.88,0,1,1,11,6,England,2003
TM Odoyo,7,7,2,156,43*,31.20,257,60.70,0,0,0,17,1,Kenya,2003
KJJ van Noortwijk,4,4,1,154,134*,51.33,160,96.25,1,0,1,14,3,Netherlands,2003
MG Bevan,9,5,2,148,74*,49.33,264,56.06,0,2,1,11,2,Australia,2003
IS Billcliff,6,6,0,147,71,24.50,253,58.10,0,1,0,16,2,Canada,2003
MP Vaughan,5,5,0,139,52,27.80,181,76.79,0,2,0,19,0,England,2003
PD Collingwood,5,5,2,137,66*,45.66,184,74.45,0,1,0,10,1,England,2003
AJ Stewart,5,4,0,136,60,34.00,204,66.66,0,1,1,11,1,England,2003
DLS van Bunge,6,5,0,135,62,27.00,245,55.10,0,1,0,14,1,Netherlands,2003
D Keulder,6,6,0,132,52,22.00,220,60.00,0,1,1,11,0,Namibia,2003
ML Hayden,11,10,1,659,158,73.22,652,101.07,3,1,0,69,18,Australia,2007
DPMD Jayawardene,11,11,2,548,115*,60.88,644,85.09,1,4,0,40,10,SriLanka,2007
RT Ponting,11,9,1,539,113,67.37,565,95.39,1,4,0,53,11,Australia,2007
SB Styris,10,9,3,499,111*,83.16,598,83.44,1,4,0,45,6,NewZealand,2007
JH Kallis,10,9,3,485,128*,80.83,578,83.91,1,3,0,43,7,SouthAfrica,2007
ST Jayasuriya,11,11,1,467,115,46.70,475,98.31,2,2,0,47,14,SriLanka,2007
AC Gilchrist,11,11,1,453,149,45.30,436,103.89,1,2,0,58,10,Australia,2007
KP Pietersen,9,9,1,444,104,55.50,548,81.02,2,3,0,36,5,England,2007
GC Smith,10,10,1,443,91,49.22,424,104.48,0,5,0,55,6,SouthAfrica,2007
MJ Clarke,11,9,4,436,93*,87.20,459,94.98,0,4,0,40,7,Australia,2007
RR Sarwan,9,9,1,375,92,46.87,481,77.96,0,2,0,32,5,WestIndies,2007
AB de Villiers,10,10,0,372,146,37.20,369,100.81,1,2,4,47,9,SouthAfrica,2007
SP Fleming,10,10,1,353,102*,39.22,409,86.30,1,3,1,40,9,NewZealand,2007
LPC Silva,11,10,2,350,64,43.75,452,77.43,0,4,0,28,4,SriLanka,2007
KC Sangakkara,11,11,1,350,76,35.00,465,75.26,0,4,1,30,2,SriLanka,2007
HH Gibbs,10,8,2,342,72,57.00,373,91.68,0,4,0,20,14,SouthAfrica,2007
S Chanderpaul,9,9,1,315,102*,39.37,517,60.92,1,2,0,23,9,WestIndies,2007
WU Tharanga,11,11,0,298,73,27.09,446,66.81,0,3,1,27,2,SriLanka,2007
PG Fulton,8,8,0,297,83,37.12,424,70.04,0,2,1,29,2,NewZealand,2007
PD Collingwood,9,9,3,276,90,46.00,368,75.00,0,2,0,24,4,England,2007
BC Lara,9,8,1,269,77,38.42,330,81.51,0,1,0,19,5,WestIndies,2007
CH Gayle,9,9,0,228,79,25.33,272,83.82,0,1,0,28,6,WestIndies,2007
CD McMillan,10,9,2,228,71,32.57,261,87.35,0,1,0,14,9,NewZealand,2007
TM Dilshan,11,9,2,217,58,31.00,236,91.94,0,1,0,15,2,SriLanka,2007
MN Samuels,8,8,1,216,63,30.85,285,75.78,0,2,0,22,6,WestIndies,2007
Mohammad Ashraful,9,9,3,216,87,36.00,267,80.89,0,1,0,27,1,Bangladesh,2007
NJ O'Brien,9,9,0,216,72,24.00,374,57.75,0,2,1,17,1,Ireland,2007
JP Bray,9,9,1,212,115*,26.50,338,62.72,1,0,2,22,2,Ireland,2007
IR Bell,8,8,0,211,77,26.37,349,60.45,0,1,1,19,0,England,2007
MP Vaughan,9,9,0,209,79,23.22,309,67.63,0,1,1,24,2,England,2007
Shakib Al Hasan,9,9,2,202,57*,28.85,353,57.22,0,2,1,15,3,Bangladesh,2007
PA Nixon,9,8,3,193,42*,38.60,194,99.48,0,0,0,17,5,England,2007
Imran Nazir,3,3,0,190,160,63.33,175,108.57,1,0,0,17,9,Pakistan,2007
A Symonds,9,8,5,189,63*,63.00,192,98.43,0,1,0,19,4,Australia,2007
MV Boucher,10,7,1,177,75*,29.50,129,137.20,0,2,2,13,11,SouthAfrica,2007
WTS Porterfield,9,9,0,172,85,19.11,379,45.38,0,1,2,7,0,Ireland,2007
Tamim Iqbal,9,9,0,172,51,19.11,275,62.54,0,1,0,25,2,Bangladesh,2007
KJ O'Brien,8,8,1,170,49,24.28,263,64.63,0,0,0,13,5,Ireland,2007
RS Bopara,8,7,2,165,52,33.00,215,76.74,0,1,1,18,0,England,2007
JDP Oram,9,7,2,165,63*,33.00,234,70.51,0,1,0,5,5,NewZealand,2007
V Sehwag,3,3,0,164,114,54.66,139,117.98,1,0,0,22,4,India,2007
SC Ganguly,3,3,0,162,89,54.00,266,60.90,0,2,0,10,2,India,2007
SO Tikolo,3,3,1,155,76,77.50,189,82.01,0,2,0,16,1,Kenya,2007
BJ Hodge,5,2,0,152,123,76.00,117,129.91,1,0,0,11,7,Australia,2007
EC Joyce,5,5,0,152,75,30.40,221,68.77,0,2,1,14,2,England,2007
SR Watson,8,6,5,145,65*,145.00,85,170.58,0,1,0,13,6,Australia,2007
Yuvraj Singh,3,3,0,136,83,45.33,116,117.24,0,1,0,6,8,India,2007
Mushfiqur Rahim,9,8,3,131,56*,26.20,273,47.98,0,1,1,9,2,Bangladesh,2007
DJ Bravo,9,8,2,129,37*,21.50,158,81.64,0,0,0,10,2,WestIndies,2007
DT Johnston,8,8,2,129,30,21.50,144,89.58,0,0,1,8,5,Ireland,2007
TM Dilshan,9,9,1,500,144,62.50,551,90.74,2,2,0,61,4,SriLanka,2011
SR Tendulkar,9,9,0,482,120,53.55,524,91.98,2,2,0,52,8,India,2011
KC Sangakkara,9,8,3,465,111,93.00,555,83.78,1,3,0,44,5,SriLanka,2011
IJL Trott,7,7,0,422,92,60.28,522,80.84,0,5,0,28,0,England,2011
WU Tharanga,9,9,2,395,133,56.42,472,83.68,2,1,0,52,2,SriLanka,2011
G Gambhir,9,9,0,393,97,43.66,462,85.06,0,4,0,37,0,India,2011
V Sehwag,8,8,0,380,175,47.50,310,122.58,1,1,1,49,7,India,2011
Yuvraj Singh,9,8,4,362,113,90.50,420,86.19,1,4,1,39,3,India,2011
AB de Villiers,5,5,1,353,134,88.25,326,108.28,2,1,0,31,7,SouthAfrica,2011
AJ Strauss,7,7,0,334,158,47.71,357,93.55,1,1,1,34,3,England,2011
BJ Haddin,7,6,0,332,88,55.33,421,78.85,0,4,0,40,5,Australia,2011
LRPL Taylor,8,6,1,324,131*,64.80,372,87.09,1,1,0,20,14,NewZealand,2011
RN ten Doeschate,6,6,1,307,119,61.40,344,89.24,2,1,0,26,5,Netherlands,2011
HM Amla,7,7,0,306,113,43.71,349,87.67,1,2,0,25,1,SouthAfrica,2011
DPMD Jayawardene,9,7,1,304,103*,50.66,304,100.00,2,1,0,32,1,SriLanka,2011
DS Smith,7,7,0,300,107,42.85,391,76.72,1,2,0,32,2,WestIndies,2011
SR Watson,7,6,0,290,94,48.33,314,92.35,0,3,0,32,7,Australia,2011
V Kohli,9,9,1,282,100*,35.25,343,82.21,1,1,0,24,2,India,2011
MJ Guptill,8,8,2,262,86*,43.66,382,68.58,0,2,0,27,4,NewZealand,2011
BB McCullum,8,8,2,256,101,42.66,277,92.41,1,1,0,28,6,NewZealand,2011
Misbah-ul-Haq,8,6,1,248,83*,49.60,336,73.80,0,3,1,13,3,Pakistan,2011
IR Bell,7,7,0,245,81,35.00,307,79.80,0,2,0,16,2,England,2011
CO Obuya,6,6,1,243,98*,48.60,347,70.02,0,2,0,21,7,Kenya,2011
MS Dhoni,9,8,3,241,91*,48.20,295,81.69,0,1,0,19,3,India,2011
Umar Akmal,7,6,1,240,71,48.00,276,86.95,0,1,0,21,5,Pakistan,2011
MJ Clarke,7,6,3,233,93,77.66,256,91.01,0,2,0,20,1,Australia,2011
CR Ervine,6,6,0,231,85,38.50,269,85.87,0,3,1,24,3,Zimbabwe,2011
A Bagai,6,6,1,225,84,45.00,322,69.87,0,2,1,27,0,Canada,2011
JH Kallis,7,7,0,225,69,32.14,309,72.81,0,2,0,18,1,SouthAfrica,2011
JP Duminy,7,7,1,224,99,37.33,229,97.81,0,1,1,12,6,SouthAfrica,2011
AS Hansra,6,6,1,215,70*,43.00,373,57.64,0,2,0,16,5,Canada,2011
Mohammad Hafeez,8,8,1,215,61*,30.71,265,81.13,0,1,0,32,1,Pakistan,2011
Kamran Akmal,8,7,1,207,55,34.50,278,74.46,0,1,0,28,0,Pakistan,2011
RT Ponting,7,6,0,206,104,34.33,284,72.53,1,0,0,15,1,Australia,2011
NJ O'Brien,6,6,1,205,57*,41.00,271,75.64,0,1,0,17,2,Ireland,2011
KJ O'Brien,6,6,1,198,113,39.60,158,125.31,1,0,0,19,9,Ireland,2011
T Taibu,6,6,0,189,98,31.50,243,77.77,0,2,0,20,0,Zimbabwe,2011
Imrul Kayes,6,6,1,188,73*,37.60,277,67.87,0,2,0,21,0,Bangladesh,2011
Younis Khan,8,7,1,185,72,30.83,261,70.88,0,2,1,11,0,Pakistan,2011
JD Ryder,7,5,0,184,83,36.80,265,69.43,0,1,0,21,0,NewZealand,2011
GC Smith,7,7,0,183,45,26.14,300,61.00,0,0,0,13,0,SouthAfrica,2011
KA Pollard,7,6,0,180,94,30.00,120,150.00,0,2,1,14,11,WestIndies,2011
WTS Porterfield,6,6,0,180,75,30.00,270,66.66,0,2,1,21,1,Ireland,2011
EC Joyce,6,6,0,176,84,29.33,264,66.66,0,1,0,18,0,Ireland,2011
TLW Cooper,6,6,1,174,55*,34.80,259,67.18,0,1,0,18,0,Netherlands,2011
PW Borren,6,6,1,173,84,34.60,192,90.10,0,1,0,18,2,Netherlands,2011
CH Gayle,5,5,1,170,80,42.50,179,94.97,0,1,0,23,3,WestIndies,2011
BRM Taylor,6,6,0,170,80,28.33,195,87.17,0,1,1,20,1,Zimbabwe,2011
F du Plessis,7,6,2,159,52,39.75,189,84.12,0,1,0,10,3,SouthAfrica,2011
MJ Guptill,9,9,1,547,237*,68.37,523,104.58,2,1,0,59,16,NewZealand,2015
KC Sangakkara,7,7,2,541,124,108.20,511,105.87,4,0,0,57,7,SriLanka,2015
AB de Villiers,8,7,2,482,162*,96.40,334,144.31,1,3,0,43,21,SouthAfrica,2015
BRM Taylor,6,6,0,433,138,72.16,405,106.91,2,1,0,43,12,Zimbabwe,2015
S Dhawan,8,8,0,412,137,51.50,449,91.75,2,1,0,48,9,India,2015
SPD Smith,8,7,1,402,105,67.00,439,91.57,1,4,0,37,4,Australia,2015
TM Dilshan,7,7,1,395,161*,65.83,409,96.57,2,1,2,46,3,SriLanka,2015
F du Plessis,7,7,1,380,109,63.33,449,84.63,1,3,0,28,4,SouthAfrica,2015
Mahmudullah,6,6,1,365,128*,73.00,446,81.83,2,1,0,30,6,Bangladesh,2015
Misbah-ul-Haq,7,7,0,350,76,50.00,466,75.10,0,4,0,25,7,Pakistan,2015
DA Warner,8,8,1,345,178,49.28,287,120.20,1,0,0,38,9,Australia,2015
CH Gayle,6,6,0,340,215,56.66,290,117.24,1,1,0,17,26,WestIndies,2015
SC Williams,6,6,1,339,96,67.80,311,109.00,0,4,0,29,6,Zimbabwe,2015
HM Amla,8,8,0,333,159,41.62,350,95.14,1,1,0,35,5,SouthAfrica,2015
RG Sharma,8,8,1,330,137,47.14,360,91.66,1,2,1,33,9,India,2015
BB McCullum,9,9,0,328,77,36.44,174,188.50,0,4,1,44,17,NewZealand,2015
GJ Maxwell,8,6,1,324,102,64.80,178,182.02,1,2,0,35,14,Australia,2015
DA Miller,8,7,2,324,138*,64.80,233,139.05,1,0,1,21,14,SouthAfrica,2015
Shaiman Anwar,6,6,0,311,106,51.83,340,91.47,1,2,0,34,4,UnitedArabEmirates,2015
GD Elliott,9,8,1,310,84*,44.28,294,105.44,0,2,1,29,7,NewZealand,2015
V Kohli,8,8,2,305,107,50.83,374,81.55,1,0,0,29,1,India,2015
HDRL Thirimanne,7,7,1,302,139*,50.33,356,84.83,1,2,1,29,2,SriLanka,2015
Mushfiqur Rahim,6,6,0,298,89,49.66,282,105.67,0,3,0,26,5,Bangladesh,2015
SK Raina,8,6,1,284,110*,56.80,258,110.07,1,2,0,25,8,India,2015
AJ Finch,8,8,0,280,135,35.00,304,92.10,1,1,1,26,6,Australia,2015
WTS Porterfield,6,6,0,275,107,45.83,409,67.23,1,1,0,22,3,Ireland,2015
IR Bell,6,6,1,262,63,52.40,339,77.28,0,3,0,27,0,England,2015
Samiullah Shinwari,6,6,0,254,96,42.33,444,57.20,0,2,0,22,6,Afghanistan,2015
KJ Coetzer,6,6,0,253,156,42.16,282,89.71,1,1,2,33,4,Scotland,2015
EC Joyce,6,6,0,246,112,41.00,250,98.40,1,1,1,23,5,Ireland,2015
MS Dhoni,8,6,2,237,85*,59.25,232,102.15,0,2,0,18,6,India,2015
A Balbirnie,6,6,0,236,97,39.33,260,90.76,0,2,0,20,4,Ireland,2015
KS Williamson,9,9,2,234,57,33.42,300,78.00,0,1,0,28,2,NewZealand,2015
CJ Anderson,9,8,1,231,75,33.00,213,108.45,0,2,1,22,9,NewZealand,2015
MN Samuels,7,7,1,230,133*,38.33,298,77.18,1,0,1,20,5,WestIndies,2015
Ahmed Shehzad,7,7,0,227,93,32.42,313,72.52,0,2,1,24,1,Pakistan,2015
LRPL Taylor,9,9,2,221,56,31.57,359,61.55,0,1,0,17,0,NewZealand,2015
MJ Clarke,7,6,0,219,74,36.50,228,96.05,0,2,0,25,3,Australia,2015
RR Rossouw,6,5,1,210,61*,52.50,180,116.66,0,2,0,23,5,SouthAfrica,2015
AM Rahane,8,7,1,208,79,34.66,252,82.53,0,1,1,21,3,India,2015
SR Watson,7,7,2,208,67,41.60,196,106.12,0,2,1,22,4,Australia,2015
JE Root,6,5,0,202,121,40.40,240,84.16,1,0,0,19,2,England,2015
NJ O'Brien,6,6,1,199,79*,39.80,182,109.34,0,2,0,23,3,Ireland,2015
Shakib Al Hasan,6,6,1,196,63,39.20,209,93.77,0,2,0,18,3,Bangladesh,2015
AD Mathews,7,5,0,195,51,39.00,217,89.86,0,1,0,11,7,SriLanka,2015
MM Ali,5,5,0,192,128,38.40,182,105.49,1,0,0,24,5,England,2015
MW Machan,6,6,0,186,56,31.00,230,80.86,0,1,0,21,2,Scotland,2015
Sabbir Rahman,6,6,1,182,53,36.40,185,98.37,0,1,0,18,5,Bangladesh,2015
DJG Sammy,7,5,0,177,89,35.40,177,100.00,0,1,0,17,6,WestIndies,2015
Haris Sohail,6,6,0,177,70,29.50,245,72.24,0,1,1,14,1,Pakistan,2015
RG Sharma,9,9,1,648,140,81.00,659,98.33,5,1,0,67,14,India,2019
DA Warner,10,10,1,647,166,71.88,724,89.36,3,3,0,66,8,Australia,2019
Shakib Al Hasan,8,8,1,606,124*,86.57,631,96.03,2,5,0,60,2,Bangladesh,2019
KS Williamson,10,9,2,578,148,82.57,771,74.96,2,2,0,50,3,NewZealand,2019
JE Root,11,11,2,556,107,61.77,621,89.53,2,3,0,48,2,England,2019
JM Bairstow,11,11,0,532,111,48.36,573,92.84,2,2,2,67,11,England,2019
AJ Finch,10,10,0,507,153,50.70,497,102.01,2,3,1,47,18,Australia,2019
Babar Azam,8,8,1,474,101*,67.71,540,87.77,1,3,0,50,2,Pakistan,2019
BA Stokes,11,10,3,465,89,66.42,499,93.18,0,5,0,38,11,England,2019
JJ Roy,8,7,0,443,153,63.28,384,115.36,1,4,0,51,12,England,2019
V Kohli,9,9,1,443,82,55.37,471,94.05,0,5,0,38,2,India,2019
F du Plessis,9,8,2,387,100,64.50,432,89.58,1,3,0,36,4,SouthAfrica,2019
SPD Smith,10,10,0,379,85,37.90,441,85.94,0,4,0,33,2,Australia,2019
AT Carey,10,9,3,375,85,62.50,360,104.16,0,3,0,46,2,Australia,2019
EJG Morgan,11,10,1,371,148,41.22,334,111.07,1,1,0,26,22,England,2019
Mushfiqur Rahim,8,8,1,367,102*,52.42,396,92.67,1,2,0,30,2,Bangladesh,2019
N Pooran,9,8,1,367,118,52.42,366,100.27,1,2,0,33,10,WestIndies,2019
KL Rahul,9,9,1,361,111,45.12,466,77.46,1,2,1,31,5,India,2019
LRPL Taylor,10,9,0,350,82,38.88,465,75.26,0,3,0,29,2,NewZealand,2019
UT Khawaja,9,9,0,316,89,35.11,358,88.26,0,2,0,30,1,Australia,2019
JC Buttler,11,9,0,312,103,34.66,254,122.83,1,2,0,22,8,England,2019
HE van der Dussen,9,6,1,311,95,62.20,344,90.40,0,3,0,14,10,SouthAfrica,2019
Imam-ul-Haq,8,8,0,305,100,38.12,400,76.25,1,1,0,31,1,Pakistan,2019
Q de Kock,9,9,1,305,68,38.12,351,86.89,0,3,0,34,4,SouthAfrica,2019
SD Hope,9,8,0,274,96,34.25,389,70.43,0,3,0,21,3,WestIndies,2019
MDKJ Perera,7,7,0,273,78,39.00,246,110.97,0,3,0,32,1,SriLanka,2019
MS Dhoni,9,8,2,273,56*,45.50,311,87.78,0,2,0,20,5,India,2019
SO Hetmyer,9,8,1,257,54,36.71,253,101.58,0,2,0,25,6,WestIndies,2019
Rahmat Shah,9,9,0,254,62,28.22,390,65.12,0,1,1,31,1,Afghanistan,2019
Mohammad Hafeez,8,8,0,253,84,31.62,285,88.77,0,1,0,22,5,Pakistan,2019
AD Mathews,7,7,1,244,113,40.66,314,77.70,1,1,2,20,4,SriLanka,2019
CH Gayle,9,8,0,242,87,30.25,274,88.32,0,2,1,26,12,WestIndies,2019
Tamim Iqbal,8,8,0,235,62,29.37,328,71.64,0,1,0,25,0,Bangladesh,2019
JDS Neesham,10,8,1,232,97*,33.14,294,78.91,0,1,0,16,5,NewZealand,2019
Najibullah Zadran,8,8,0,230,51,28.75,259,88.80,0,1,0,25,4,Afghanistan,2019
HH Pandya,9,9,2,226,48,32.28,201,112.43,0,0,1,21,4,India,2019
FDM Karunaratne,7,7,1,222,97,37.00,311,71.38,0,2,1,22,0,SriLanka,2019
Mahmudullah,7,6,1,219,69,43.80,244,89.75,0,1,0,14,5,Bangladesh,2019
WIA Fernando,4,4,0,203,104,50.75,192,105.72,1,0,0,23,4,SriLanka,2019
HM Amla,7,7,2,203,80*,40.60,313,64.85,0,2,0,16,0,SouthAfrica,2019
Haris Sohail,5,5,0,198,89,39.60,209,94.73,0,2,0,18,5,Pakistan,2019
Hashmatullah Shahidi,8,8,0,197,76,24.62,349,56.44,0,2,1,20,2,Afghanistan,2019
Gulbadin Naib,9,9,0,194,47,21.55,243,79.83,0,0,0,20,2,Afghanistan,2019
C de Grandhomme,10,8,0,190,64,23.75,189,100.52,0,2,1,16,4,NewZealand,2019
Fakhar Zaman,8,8,0,186,62,23.25,227,81.93,0,1,2,24,3,Pakistan,2019
MJ Guptill,10,10,1,186,73*,20.66,221,84.16,0,1,2,22,4,NewZealand,2019
Liton Das,5,5,1,184,94*,46.00,167,110.17,0,1,0,16,5,Bangladesh,2019
GJ Maxwell,10,10,2,177,46*,22.12,118,150.00,0,0,1,19,7,Australia,2019
JO Holder,9,7,0,170,51,24.28,156,108.97,0,1,1,16,8,WestIndies,2019
Soumya Sarkar,8,8,0,166,42,20.75,164,101.21,0,0,0,24,2,Bangladesh,2019
