Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,country,year
CJ McDermott,8,8,73.0,3,341,18,5/44,18.94,4.67,24.3,1,1,Australia,1987
Imran Khan,7,6,49.5,6,222,17,4/37,13.05,4.45,17.5,2,0,Pakistan,1987
BP Patterson,6,6,56.0,2,253,14,3/31,18.07,4.51,24.0,0,0,WestIndies,1987
Maninder Singh,7,7,70.0,1,280,14,3/21,20.00,4.00,30.0,0,0,India,1987
EE Hemmings,6,6,59.3,4,274,13,4/52,21.07,4.60,27.4,1,0,England,1987
Abdul Qadir,7,7,68.0,2,242,12,4/31,20.16,3.55,34.0,1,0,Pakistan,1987
PAJ DeFreitas,8,8,69.1,12,283,12,3/28,23.58,4.09,34.5,0,0,England,1987
SR Waugh,8,8,63.3,4,288,11,2/36,26.18,4.53,34.6,0,0,Australia,1987
JR Ratnayeke,6,6,54.0,2,313,10,3/41,31.30,5.79,32.4,0,0,SriLanka,1987
CA Walsh,6,6,55.3,6,229,9,4/40,25.44,4.12,37.0,1,0,WestIndies,1987
M Prabhakar,7,7,59.0,4,235,9,4/19,26.11,3.98,39.3,1,0,India,1987
SP O'Donnell,7,7,60.4,6,261,9,4/39,29.00,4.30,40.4,1,0,Australia,1987
NA Foster,7,7,70.0,1,313,9,3/47,34.77,4.47,46.6,0,0,England,1987
CL Hooper,6,5,41.0,0,181,7,3/42,25.85,4.41,35.1,0,0,WestIndies,1987
W Watson,6,6,53.0,3,270,7,2/36,38.57,5.09,45.4,0,0,NewZealand,1987
RJ Shastri,7,7,68.2,1,274,7,2/45,39.14,4.00,58.5,0,0,India,1987
Wasim Akram,7,7,63.2,1,295,7,3/45,42.14,4.65,54.2,0,0,Pakistan,1987
AR Border,8,5,32.0,0,166,6,2/27,27.66,5.18,32.0,0,0,Australia,1987
C Sharma,4,4,36.1,2,170,6,3/51,28.33,4.70,36.1,0,0,India,1987
AJ Traicos,6,6,58.0,2,218,6,2/27,36.33,3.75,58.0,0,0,Zimbabwe,1987
JE Emburey,8,8,79.0,4,295,6,2/26,49.16,3.73,79.0,0,0,England,1987
BA Reid,8,8,68.0,7,303,6,2/38,50.50,4.45,68.0,0,0,Australia,1987
GC Small,8,8,68.0,2,331,6,2/47,55.16,4.86,68.0,0,0,England,1987
M Azharuddin,7,7,23.5,0,109,5,3/19,21.80,4.57,28.6,0,0,India,1987
AH Omarshah,6,5,40.0,0,179,5,2/34,35.80,4.47,48.0,0,0,Zimbabwe,1987
Saleem Jaffar,5,5,39.4,0,210,5,3/30,42.00,5.29,47.6,0,0,Pakistan,1987
EJ Chatfield,6,6,50.1,8,230,5,2/52,46.00,4.58,60.2,0,0,NewZealand,1987
Tauseef Ahmed,6,6,60.0,4,230,5,1/35,46.00,3.83,72.0,0,0,Pakistan,1987
MC Snedden,6,6,49.0,3,254,5,2/36,50.80,5.18,58.8,0,0,NewZealand,1987
N Kapil Dev,7,7,62.0,6,259,5,2/38,51.80,4.17,74.4,0,0,India,1987
S Jeganathan,3,3,29.0,2,123,4,2/45,30.75,4.24,43.5,0,0,SriLanka,1987
KM Curran,5,4,26.0,0,124,4,2/29,31.00,4.76,39.0,0,0,Zimbabwe,1987
SL Boock,4,4,32.4,2,156,4,2/42,39.00,4.77,49.0,0,0,NewZealand,1987
RJ Ratnayake,3,3,25.0,0,163,4,2/64,40.75,6.52,37.5,0,0,SriLanka,1987
PWE Rawson,4,4,33.0,0,188,4,2/46,47.00,5.69,49.5,0,0,Zimbabwe,1987
RA Harper,6,6,60.0,4,206,4,1/28,51.50,3.43,90.0,0,0,WestIndies,1987
TBA May,6,6,44.0,1,213,4,2/29,53.25,4.84,66.0,0,0,Australia,1987
WKM Benjamin,5,5,44.0,2,218,4,3/69,54.50,4.95,66.0,0,0,WestIndies,1987
DN Patel,6,6,43.0,1,223,4,3/36,55.75,5.18,64.5,0,0,NewZealand,1987
SD Anurasiri,6,6,55.0,1,271,4,1/44,67.75,4.92,82.5,0,0,SriLanka,1987
PA de Silva,6,6,42.0,0,217,3,2/43,72.33,5.16,84.0,0,0,SriLanka,1987
IP Butchart,6,6,35.0,1,222,3,2/59,74.00,6.34,70.0,0,0,Zimbabwe,1987
EA Brandes,4,4,33.0,4,154,2,2/44,77.00,4.66,99.0,0,0,Zimbabwe,1987
MP Jarvis,5,5,35.4,1,155,2,1/21,77.50,4.34,107.0,0,0,Zimbabwe,1987
Wasim Akram,10,10,89.4,2,338,18,4/32,18.77,3.76,29.8,1,0,Pakistan,1992
IT Botham,10,10,89.0,7,306,16,4/31,19.12,3.43,33.3,1,0,England,1992
Mushtaq Ahmed,9,8,78.0,3,311,16,3/41,19.43,3.98,29.2,0,0,Pakistan,1992
CZ Harris,9,9,72.1,4,342,16,3/15,21.37,4.73,27.0,0,0,NewZealand,1992
EA Brandes,8,8,70.1,7,355,14,4/21,25.35,5.05,30.0,1,0,Zimbabwe,1992
AA Donald,9,9,78.0,5,329,13,3/34,25.30,4.21,36.0,0,0,SouthAfrica,1992
M Prabhakar,8,7,57.1,5,245,12,3/41,20.41,4.28,28.5,0,0,India,1992
AC Cummins,6,6,59.0,1,246,12,4/33,20.50,4.16,29.5,1,0,WestIndies,1992
W Watson,8,8,79.0,11,301,12,3/37,25.08,3.81,39.5,0,0,NewZealand,1992
BM McMillan,9,9,73.0,7,306,11,3/30,27.81,4.19,39.8,0,0,SouthAfrica,1992
PAJ DeFreitas,10,10,85.3,12,319,11,3/34,29.00,3.73,46.6,0,0,England,1992
Aaqib Javed,10,10,84.5,11,328,11,3/21,29.81,3.86,46.2,0,0,Pakistan,1992
WKM Benjamin,8,8,79.0,8,297,10,3/27,29.70,3.75,47.4,0,0,WestIndies,1992
MR Whitney,7,7,66.0,12,215,9,4/34,23.88,3.25,44.0,1,0,Australia,1992
AP Kuiper,9,8,41.0,0,235,9,3/40,26.11,5.73,27.3,0,0,SouthAfrica,1992
N Kapil Dev,8,7,58.0,2,251,9,3/41,27.88,4.32,38.6,0,0,India,1992
GR Larsen,9,9,76.0,7,262,9,3/16,29.11,3.44,50.6,0,0,NewZealand,1992
DA Reeve,9,8,34.4,4,126,8,3/38,15.75,3.63,26.0,0,0,England,1992
MW Pringle,7,7,57.0,6,236,8,4/11,29.50,4.14,42.7,1,0,SouthAfrica,1992
DN Patel,9,8,79.0,8,245,8,2/26,30.62,3.10,59.2,0,0,NewZealand,1992
CJ McDermott,8,8,73.0,5,246,8,2/29,30.75,3.36,54.7,0,0,Australia,1992
J Srinath,8,7,53.1,3,249,8,2/23,31.12,4.68,39.8,0,0,India,1992
RK Illingworth,6,6,58.1,2,250,8,3/33,31.25,4.29,43.6,0,0,England,1992
SR Waugh,8,8,60.4,1,277,8,3/36,34.62,4.56,45.5,0,0,Australia,1992
RP Snell,9,9,72.5,10,310,8,3/42,38.75,4.25,54.6,0,0,SouthAfrica,1992
CL Hooper,8,8,80.0,2,312,8,2/19,39.00,3.90,60.0,0,0,WestIndies,1992
CC Lewis,9,6,50.4,5,214,7,4/30,30.57,4.22,43.4,1,0,England,1992
DR Pringle,8,8,66.4,15,218,7,3/8,31.14,3.27,57.1,0,0,England,1992
TM Moody,8,8,49.0,2,225,7,3/56,32.14,4.59,42.0,0,0,Australia,1992
CEL Ambrose,7,7,68.0,6,235,7,2/24,33.57,3.45,58.2,0,0,WestIndies,1992
Imran Khan,8,7,60.2,2,251,7,2/32,35.85,4.16,51.7,0,0,Pakistan,1992
GP Wickramasinghe,8,7,60.1,5,276,7,2/29,39.42,4.58,51.5,0,0,SriLanka,1992
IP Butchart,5,4,32.0,1,205,6,3/57,34.16,6.40,32.0,0,0,Zimbabwe,1992
AJ Traicos,8,7,62.0,5,253,6,3/35,42.16,4.08,62.0,0,0,Zimbabwe,1992
AP Gurusinha,8,7,48.0,0,256,6,2/67,42.66,5.33,48.0,0,0,SriLanka,1992
PN Kirsten,8,4,18.0,1,87,5,3/31,17.40,4.83,21.6,0,0,SouthAfrica,1992
UC Hathurusingha,4,2,17.0,0,97,5,4/57,19.40,5.70,20.4,1,0,SriLanka,1992
GC Small,5,5,35.0,3,127,5,2/29,25.40,3.62,42.0,0,0,England,1992
PL Taylor,7,6,37.4,1,147,5,2/14,29.40,3.90,45.2,0,0,Australia,1992
DK Morrison,5,5,40.0,1,180,5,3/42,36.00,4.50,48.0,0,0,NewZealand,1992
SD Anurasiri,5,5,50.0,3,184,5,3/41,36.80,3.68,60.0,0,0,SriLanka,1992
SLV Raju,7,6,48.1,3,208,5,2/38,41.60,4.31,57.8,0,0,India,1992
MP Jarvis,5,5,47.3,4,229,5,1/23,45.80,4.82,57.0,0,0,Zimbabwe,1992
AH Omarshah,7,7,57.0,9,237,5,2/17,47.40,4.15,68.4,0,0,Zimbabwe,1992
CPH Ramanayake,8,8,64.4,6,265,5,2/37,53.00,4.09,77.6,0,0,SriLanka,1992
MG Burmester,4,4,21.5,0,138,4,3/36,34.50,6.32,32.7,0,0,Zimbabwe,1992
Aamer Sohail,10,7,40.0,2,184,4,2/26,46.00,4.60,60.0,0,0,Pakistan,1992
RS Kalpage,7,6,50.0,0,241,4,2/33,60.25,4.82,75.0,0,0,SriLanka,1992
A Kumble,7,7,69.4,3,281,15,3/28,18.73,4.03,27.8,0,0,India,1996
Waqar Younis,6,6,54.0,5,253,13,4/26,19.46,4.68,24.9,1,0,Pakistan,1996
PA Strang,6,5,42.1,4,192,12,5/21,16.00,4.55,21.0,1,1,Zimbabwe,1996
RA Harper,6,6,58.0,6,219,12,4/47,18.25,3.77,29.0,1,0,WestIndies,1996
DW Fleming,6,6,45.2,3,221,12,5/36,18.41,4.87,22.6,0,1,Australia,1996
SK Warne,7,7,68.3,3,263,12,4/34,21.91,3.83,34.2,2,0,Australia,1996
CEL Ambrose,6,6,56.3,9,170,10,3/28,17.00,3.00,33.9,0,0,WestIndies,1996
RW Ali,6,6,41.2,3,190,10,3/17,19.00,4.59,24.8,0,0,Kenya,1996
Mushtaq Ahmed,6,6,57.0,2,238,10,3/16,23.80,4.17,34.2,0,0,Pakistan,1996
AA Donald,4,4,34.0,0,126,8,3/21,15.75,3.70,25.5,0,0,SouthAfrica,1996
SLV Raju,4,4,40.0,4,158,8,3/30,19.75,3.95,30.0,0,0,India,1996
DG Cork,5,5,48.0,2,216,8,2/33,27.00,4.50,36.0,0,0,England,1996
J Srinath,7,7,65.4,3,293,8,3/34,36.62,4.46,49.2,0,0,India,1996
BKV Prasad,7,7,65.0,1,312,8,3/45,39.00,4.80,48.7,0,0,India,1996
Aaqib Javed,5,5,39.3,2,189,7,2/18,27.00,4.78,33.8,0,0,Pakistan,1996
CA Walsh,6,6,55.3,9,210,7,3/46,30.00,3.78,47.5,0,0,WestIndies,1996
M Muralitharan,6,6,57.1,3,216,7,2/37,30.85,3.77,49.0,0,0,SriLanka,1996
CR Matthews,6,6,59.3,2,226,7,2/30,32.28,3.79,51.0,0,0,SouthAfrica,1996
ST Jayasuriya,6,6,51.0,1,231,7,3/12,33.00,4.52,43.7,0,0,SriLanka,1996
BM McMillan,6,6,43.0,5,127,6,3/11,21.16,2.95,43.0,0,0,SouthAfrica,1996
PAJ DeFreitas,4,4,33.1,6,140,6,3/31,23.33,4.22,33.1,0,0,England,1996
PL Symcox,4,4,40.0,2,149,6,2/22,24.83,3.72,40.0,0,0,SouthAfrica,1996
SF Dukanwala,5,4,33.0,1,153,6,5/29,25.50,4.63,33.0,0,1,UnitedArabEmirates,1996
DJ Nash,4,4,35.0,4,153,6,3/26,25.50,4.37,35.0,0,0,NewZealand,1996
Azhar Saeed,5,5,31.0,1,157,6,3/45,26.16,5.06,31.0,0,0,UnitedArabEmirates,1996
MO Odumbe,6,5,42.5,6,187,6,3/15,31.16,4.36,42.8,0,0,Kenya,1996
WPUJC Vaas,6,6,49.0,6,193,6,2/30,32.16,3.93,49.0,0,0,SriLanka,1996
PJ Martin,5,5,44.0,2,198,6,3/33,33.00,4.50,44.0,0,0,England,1996
SM Pollock,6,6,53.0,4,219,6,2/16,36.50,4.13,53.0,0,0,SouthAfrica,1996
HDPK Dharmasena,6,6,56.0,1,249,6,2/30,41.50,4.44,56.0,0,0,SriLanka,1996
GD McGrath,7,7,62.2,10,258,6,2/30,43.00,4.13,62.3,0,0,Australia,1996
CZ Harris,4,4,33.0,1,135,5,3/24,27.00,4.09,39.6,0,0,NewZealand,1996
SR Waugh,7,6,31.0,2,157,5,2/22,31.40,5.06,37.2,0,0,Australia,1996
PR Reiffel,5,5,36.0,3,163,5,2/18,32.60,4.52,43.2,0,0,Australia,1996
SW Lubbers,4,4,36.0,0,187,5,3/48,37.40,5.19,43.2,0,0,Netherlands,1996
SA Thomson,5,5,42.3,2,197,5,3/20,39.40,4.63,51.0,0,0,NewZealand,1996
ME Waugh,7,7,48.0,1,229,5,3/38,45.80,4.77,57.6,0,0,Australia,1996
PA de Silva,6,3,17.0,0,87,4,3/42,21.75,5.11,25.5,0,0,SriLanka,1996
RJ Kennedy,3,3,21.0,2,88,4,2/36,22.00,4.19,31.5,0,0,NewZealand,1996
EO Odumbe,6,5,16.5,0,95,4,2/8,23.75,5.64,25.2,0,0,Kenya,1996
NMK Smith,3,3,25.3,2,96,4,3/29,24.00,3.76,38.2,0,0,England,1996
AY Karim,6,5,48.0,4,171,4,1/19,42.75,3.56,72.0,0,0,Kenya,1996
RK Illingworth,4,4,40.0,4,174,4,1/25,43.50,4.35,60.0,0,0,England,1996
HH Streak,6,5,44.0,8,175,4,3/60,43.75,3.97,66.0,0,0,Zimbabwe,1996
Aamer Sohail,6,6,46.0,1,200,4,2/48,50.00,4.34,69.0,0,0,Pakistan,1996
Sultan Zarawani,5,5,37.0,0,209,4,2/49,52.25,5.64,55.5,0,0,UnitedArabEmirates,1996
MA Suji,6,6,45.2,4,224,4,2/55,56.00,4.94,68.0,0,0,Kenya,1996
D Gough,6,6,51.0,4,238,4,2/48,59.50,4.66,76.5,0,0,England,1996
GI Allott,9,9,87.4,7,325,20,4/37,16.25,3.70,26.3,2,0,NewZealand,1999
SK Warne,10,10,94.2,13,361,20,4/29,18.05,3.82,28.3,2,0,Australia,1999
GD McGrath,10,10,95.4,9,367,18,5/14,20.38,3.83,31.8,0,1,Australia,1999
L Klusener,9,9,75.5,5,350,17,5/21,20.58,4.61,26.7,0,1,SouthAfrica,1999
Saqlain Mushtaq,10,10,83.4,4,379,17,5/35,22.29,4.52,29.5,0,1,Pakistan,1999
AA Donald,9,9,82.0,7,325,16,4/17,20.31,3.96,30.7,2,0,SouthAfrica,1999
Shoaib Akhtar,10,10,80.5,6,391,16,3/11,24.43,4.83,30.3,0,0,Pakistan,1999
Wasim Akram,10,10,90.4,6,342,15,4/40,22.80,3.77,36.2,1,0,Pakistan,1999
DW Fleming,10,10,88.0,9,362,14,3/57,25.85,4.11,37.7,0,0,Australia,1999
Abdul Razzaq,9,9,77.0,5,302,13,3/25,23.23,3.92,35.5,0,0,Pakistan,1999
Azhar Mahmood,10,10,84.0,4,349,13,3/24,26.84,4.15,38.7,0,0,Pakistan,1999
NC Johnson,8,7,50.0,4,233,12,4/42,19.41,4.66,25.0,1,0,Zimbabwe,1999
J Srinath,8,8,73.2,11,313,12,3/37,26.08,4.26,36.6,0,0,India,1999
CL Cairns,9,9,69.5,4,333,12,3/19,27.75,4.76,34.9,0,0,NewZealand,1999
CA Walsh,5,5,47.0,8,108,11,4/25,9.81,2.29,25.6,1,0,WestIndies,1999
D Gough,5,5,48.4,4,192,11,4/34,17.45,3.94,26.5,1,0,England,1999
HH Streak,8,8,68.0,3,326,11,3/35,29.63,4.79,37.0,0,0,Zimbabwe,1999
AD Mullally,5,5,50.0,6,176,10,4/37,17.60,3.52,30.0,1,0,England,1999
MA Ealham,5,5,50.0,5,191,10,2/28,19.10,3.82,30.0,0,0,England,1999
JAR Blain,5,5,37.1,1,210,10,4/37,21.00,5.65,22.3,1,0,Scotland,1999
DS Mohanty,6,6,52.0,2,260,10,4/56,26.00,5.00,31.2,1,0,India,1999
S Elworthy,8,8,72.0,9,262,10,2/20,26.20,3.63,43.2,0,0,SouthAfrica,1999
GP Wickramasinghe,5,5,49.0,3,208,9,3/30,23.11,4.24,32.6,0,0,SriLanka,1999
CZ Harris,9,9,54.1,2,255,9,4/7,28.33,4.70,36.1,1,0,NewZealand,1999
BKV Prasad,7,7,64.5,4,266,9,5/27,29.55,4.10,43.2,0,1,India,1999
SM Pollock,9,9,84.0,11,283,9,5/36,31.44,3.36,56.0,0,1,SouthAfrica,1999
RD King,4,4,31.3,4,95,8,3/30,11.87,3.01,23.6,0,0,WestIndies,1999
M Dillon,4,4,36.5,2,140,8,4/46,17.50,3.80,27.6,1,0,WestIndies,1999
RR Singh,6,6,32.3,1,153,8,5/31,19.12,4.70,24.3,0,1,India,1999
HK Olonga,7,7,36.2,1,230,8,3/22,28.75,6.33,27.2,0,0,Zimbabwe,1999
JH Kallis,8,8,66.0,5,260,8,3/26,32.50,3.93,49.5,0,0,SouthAfrica,1999
A Kumble,7,7,67.2,1,282,8,2/30,35.25,4.18,50.5,0,0,India,1999
CEL Ambrose,4,4,40.0,5,94,7,3/31,13.42,2.35,34.2,0,0,WestIndies,1999
GJ Whittall,8,8,43.0,2,196,7,3/35,28.00,4.55,36.8,0,0,Zimbabwe,1999
TM Moody,7,7,51.0,5,220,7,3/25,31.42,4.31,43.7,0,0,Australia,1999
WPUJC Vaas,5,5,47.0,4,230,7,3/46,32.85,4.89,40.2,0,0,SriLanka,1999
TM Odoyo,5,5,47.0,5,238,7,3/56,34.00,5.06,40.2,0,0,Kenya,1999
PR Reiffel,6,6,57.0,3,238,7,3/55,34.00,4.17,48.8,0,0,Australia,1999
Khaled Mahmud,5,5,36.5,6,145,6,3/31,24.16,3.93,36.8,0,0,Bangladesh,1999
M Muralitharan,5,5,43.0,3,158,6,3/25,26.33,3.67,43.0,0,0,SriLanka,1999
SC Ganguly,7,7,38.0,0,195,6,3/27,32.50,5.13,38.0,0,0,India,1999
GR Larsen,8,8,76.0,3,263,6,3/19,43.83,3.46,76.0,0,0,NewZealand,1999
NR Dyer,5,3,26.0,2,117,5,2/26,23.40,4.50,31.2,0,0,Scotland,1999
PV Simmons,5,5,39.0,5,136,5,2/33,27.20,3.48,46.8,0,0,WestIndies,1999
NJ Astle,9,7,44.3,1,205,5,1/16,41.00,4.60,53.4,0,0,NewZealand,1999
Minhajul Abedin,4,4,20.0,2,107,4,1/12,26.75,5.35,30.0,0,0,Bangladesh,1999
Asim Butt,5,5,37.0,6,148,4,2/24,37.00,4.00,55.5,0,0,Scotland,1999
WJ Cronje,9,7,32.0,0,157,4,2/37,39.25,4.90,48.0,0,0,SouthAfrica,1999
WPUJC Vaas,10,10,88.0,14,331,23,6/25,14.39,3.76,22.9,1,1,SriLanka,2003
B Lee,10,10,83.1,9,394,22,5/42,17.90,4.73,22.6,0,1,Australia,2003
GD McGrath,11,11,87.0,18,310,21,7/15,14.76,3.56,24.8,0,1,Australia,2003
Z Khan,11,11,88.2,5,374,18,4/42,20.77,4.23,29.4,1,0,India,2003
SE Bond,8,8,78.0,12,305,17,6/23,17.94,3.91,27.5,0,1,NewZealand,2003
M Muralitharan,10,10,87.4,7,319,17,4/28,18.76,3.63,30.9,1,0,SriLanka,2003
AJ Bichel,8,8,57.0,7,197,16,7/20,12.31,3.45,21.3,0,1,Australia,2003
VC Drakes,6,6,51.5,7,208,16,5/33,13.00,4.01,19.4,0,2,WestIndies,2003
J Srinath,11,11,91.1,4,369,16,4/30,23.06,4.04,34.1,2,0,India,2003
A Nehra,9,9,69.1,9,289,15,6/23,19.26,4.17,27.6,1,1,India,2003
JDP Oram,8,8,70.0,8,295,14,4/52,21.07,4.21,30.0,1,0,NewZealand,2003
GB Hogg,10,9,75.4,4,322,13,3/46,24.76,4.25,34.9,0,0,Australia,2003
CO Obuya,9,9,77.5,4,374,13,5/24,28.76,4.80,35.9,0,1,Kenya,2003
Wasim Akram,6,5,47.3,4,201,12,5/28,16.75,4.23,23.7,0,1,Pakistan,2003
Shoaib Akhtar,6,5,44.0,2,252,11,4/46,22.90,5.72,24.0,1,0,Pakistan,2003
TBM de Leede,6,6,45.5,0,253,11,4/35,23.00,5.52,25.0,1,0,Netherlands,2003
Harbhajan Singh,10,9,85.2,5,335,11,2/28,30.45,3.92,46.5,0,0,India,2003
M Ntini,6,6,52.1,6,176,10,4/24,17.60,3.37,31.3,1,0,SouthAfrica,2003
JM Davison,6,6,42.0,5,187,10,3/15,18.70,4.45,25.2,0,0,Canada,2003
JM Anderson,5,5,47.0,3,225,10,4/25,22.50,4.78,28.2,2,0,England,2003
ST Jayasuriya,10,8,64.0,1,315,10,3/30,31.50,4.92,38.4,0,0,SriLanka,2003
AR Adams,7,7,57.4,3,347,10,4/44,34.70,6.01,34.6,1,0,NewZealand,2003
SO Tikolo,9,6,36.3,1,153,9,3/14,17.00,4.19,24.3,0,0,Kenya,2003
C White,5,5,45.0,5,179,9,3/33,19.88,3.97,30.0,0,0,England,2003
TM Odoyo,7,7,54.0,3,219,9,4/28,24.33,4.05,36.0,1,0,Kenya,2003
MO Odumbe,8,6,44.0,0,226,9,4/38,25.11,5.13,29.3,1,0,Kenya,2003
