Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role,top5_season
M Azharuddin,7,5,2,190.0,64,63.33,241,78.83,0,2,0,19,1,India,1987,23.5,0,109,5.0,3/19,21.80,4.57,28.6,0,0,2,0,INDIA,Batsman,False
M Azharuddin,8,7,0,332.0,93,47.42,425,78.11,0,4,1,29,1,India,1992,-,-,-,0.0,-,-,-,-,-,-,1,0,INDIA,Batsman,True
M Azharuddin,7,6,1,143.0,72*,28.60,194,73.71,0,1,1,10,1,India,1996,-,-,-,0.0,-,-,-,-,-,-,3,0,INDIA,Batsman,False
M Azharuddin,8,7,1,161.0,59,26.83,206,78.15,0,1,0,11,2,India,1999,-,-,-,0.0,-,-,-,-,-,-,5,0,INDIA,Batsman,False
DC Boon,8,8,0,447.0,93,55.87,583,76.67,0,5,0,38,3,Australia,1987,1.0,0,17,0.0,-,-,17.00,-,0,0,2,0,AUS,Batsman,True
DC Boon,8,8,1,368.0,100,52.57,534,68.91,2,0,0,34,2,Australia,1992,-,-,-,0.0,-,-,-,-,-,-,0,0,AUS,Batsman,True
EA Brandes,4,3,2,21.0,18*,21.00,15,140.00,0,0,1,1,2,Zimbabwe,1987,33.0,4,154,2.0,2/44,77.00,4.66,99.0,0,0,2,0,ZIM,Bowler,False
EA Brandes,8,6,1,71.0,23,14.20,101,70.29,0,0,0,5,1,Zimbabwe,1992,70.1,7,355,14.0,4/21,25.35,5.05,30.0,1,0,2,0,ZIM,Bowler,True
EA Brandes,2,1,0,7.0,7,7.00,13,53.84,0,0,0,1,0,Zimbabwe,1996,15.0,0,77,0.0,-,-,5.13,-,0,0,0,0,ZIM,Bowler,False
EA Brandes,2,2,1,21.0,19*,21.00,34,61.76,0,0,0,1,1,Zimbabwe,1999,11.0,0,55,0.0,-,-,5.00,-,0,0,1,0,ZIM,Bowler,False
MD Crowe,6,6,0,222.0,72,37.00,235,94.46,0,3,0,21,1,NewZealand,1987,-,-,-,0.0,-,-,-,-,-,-,4,0,NZ,Batsman,False
MD Crowe,9,9,5,456.0,100*,114.00,502,90.83,1,4,0,45,6,NewZealand,1992,1.0,0,6,0.0,-,-,6.00,-,0,0,3,0,NZ,Batsman,True
PA de Silva,6,6,2,101.0,42,25.25,135,74.81,0,0,0,5,1,SriLanka,1987,42.0,0,217,3.0,2/43,72.33,5.16,84.0,0,0,2,0,SL,All Rounder,False
PA de Silva,8,7,0,175.0,62,25.00,257,68.09,0,1,0,9,0,SriLanka,1992,1.0,0,6,0.0,-,-,6.00,-,0,0,1,0,SL,All Rounder,False
PA de Silva,6,6,1,448.0,145,89.60,416,107.69,2,2,0,57,7,SriLanka,1996,17.0,0,87,4.0,3/42,21.75,5.11,25.5,0,0,4,0,SL,All Rounder,True
PA de Silva,5,5,0,73.0,56,14.60,122,59.83,0,1,1,9,0,SriLanka,1999,17.0,0,85,0.0,-,-,5.00,-,0,0,1,0,SL,All Rounder,False
PA de Silva,10,8,0,267.0,92,33.37,299,89.29,0,2,1,27,7,SriLanka,2003,58.0,2,276,9.0,2/36,30.66,4.75,38.6,0,0,6,0,SL,All Rounder,False
GA Gooch,8,8,0,471.0,115,58.87,670,70.29,1,3,0,45,0,England,1987,15.0,1,79,1.0,1/42,79.00,5.26,90.0,0,0,2,0,ENG,Batsman,True
GA Gooch,8,8,0,216.0,65,27.00,419,51.55,0,3,1,17,0,England,1992,-,-,-,0.0,-,-,-,-,-,-,1,0,ENG,Batsman,False
CL Hooper,6,5,2,42.0,22,14.00,65,64.61,0,0,0,4,0,WestIndies,1987,41.0,0,181,7.0,3/42,25.85,4.41,35.1,0,0,4,0,WI,All Rounder,True
CL Hooper,8,7,1,120.0,63,20.00,180,66.66,0,1,1,9,1,WestIndies,1992,80.0,2,312,8.0,2/19,39.00,3.90,60.0,0,0,4,0,WI,All Rounder,False
CL Hooper,6,6,1,99.0,45,19.80,124,79.83,0,0,1,3,1,WestIndies,2003,33.0,1,166,3.0,2/63,55.33,5.03,66.0,0,0,5,0,WI,All Rounder,False
Imran Khan,7,6,0,147.0,58,24.50,177,83.05,0,1,0,11,1,Pakistan,1987,49.5,6,222,17.0,4/37,13.05,4.45,17.5,2,0,1,0,PAK,All Rounder,True
Imran Khan,8,6,0,185.0,72,30.83,351,52.70,0,1,1,13,4,Pakistan,1992,60.2,2,251,7.0,2/32,35.85,4.16,51.7,0,0,1,0,PAK,All Rounder,False
Javed Miandad,7,7,1,274.0,103,45.66,374,73.26,1,1,0,18,0,Pakistan,1987,3.0,0,5,1.0,1/5,5.00,1.66,18.0,0,0,1,1,PAK,Batsman,True
Javed Miandad,9,9,2,437.0,89,62.42,698,62.60,0,5,0,27,0,Pakistan,1992,-,-,-,0.0,-,-,-,-,-,-,1,0,PAK,Batsman,True
Javed Miandad,5,3,1,54.0,38,27.00,104,51.92,0,0,0,3,0,Pakistan,1996,-,-,-,0.0,-,-,-,-,-,-,3,0,PAK,Batsman,False
BP Patterson,6,2,2,4.0,4*,-,12,33.33,0,0,0,0,0,WestIndies,1987,56.0,2,253,14.0,3/31,18.07,4.51,24.0,0,0,1,0,WI,Bowler,True
BP Patterson,1,-,-,0.0,-,-,-,-,-,-,-,-,-,WestIndies,1992,10.0,0,25,1.0,1/25,25.00,2.50,60.0,0,0,1,0,WI,Bowler,False
A Ranatunga,5,5,2,252.0,86*,84.00,355,70.98,0,3,0,23,2,SriLanka,1987,8.0,0,58,0.0,-,-,7.25,-,0,0,1,0,SL,Batsman,True
A Ranatunga,8,7,2,262.0,88*,52.40,322,81.36,0,2,0,23,2,SriLanka,1992,18.0,0,94,3.0,2/26,31.33,5.22,36.0,0,0,1,0,SL,Batsman,False
A Ranatunga,6,6,4,241.0,75*,120.50,210,114.76,0,1,0,29,2,SriLanka,1996,11.0,0,68,2.0,2/31,34.00,6.18,33.0,0,0,1,0,SL,Batsman,False
A Ranatunga,5,5,0,134.0,50,26.80,191,70.15,0,1,0,13,1,SriLanka,1999,-,-,-,0.0,-,-,-,-,-,-,1,0,SL,Batsman,False
RB Richardson,6,6,0,271.0,110,45.16,380,71.31,1,2,1,25,3,WestIndies,1987,4.0,0,24,0.0,-,-,6.00,-,0,0,2,0,WI,Batsman,True
RB Richardson,8,8,1,132.0,56,18.85,265,49.81,0,1,0,5,2,WestIndies,1992,-,-,-,0.0,-,-,-,-,-,-,3,0,WI,Batsman,False
RB Richardson,6,6,2,236.0,93*,59.00,371,63.61,0,1,0,22,1,WestIndies,1996,-,-,-,0.0,-,-,-,-,-,-,1,0,WI,Batsman,False
CA Walsh,6,3,1,18.0,9*,9.00,17,105.88,0,0,0,2,0,WestIndies,1987,55.3,6,229,9.0,4/40,25.44,4.12,37.0,1,0,1,0,WI,Bowler,True
CA Walsh,6,3,1,13.0,9*,6.50,20,65.00,0,0,1,3,0,WestIndies,1996,55.3,9,210,7.0,3/46,30.00,3.78,47.5,0,0,2,0,WI,Bowler,False
CA Walsh,5,2,1,6.0,6,6.00,12,50.00,0,0,0,1,0,WestIndies,1999,47.0,8,108,11.0,4/25,9.81,2.29,25.6,1,0,0,0,WI,Bowler,False
Wasim Akram,7,6,0,85.0,39,14.16,80,106.25,0,0,1,3,4,Pakistan,1987,63.2,1,295,7.0,3/45,42.14,4.65,54.2,0,0,1,0,PAK,All Rounder,False
Wasim Akram,10,8,2,62.0,33,10.33,61,101.63,0,0,1,7,0,Pakistan,1992,89.4,2,338,18.0,4/32,18.77,3.76,29.8,1,0,1,0,PAK,All Rounder,True
Wasim Akram,5,2,2,60.0,32*,-,51,117.64,0,0,0,5,0,Pakistan,1996,33.2,3,135,3.0,2/25,45.00,4.05,66.6,0,0,1,0,PAK,All Rounder,False
Wasim Akram,10,9,2,148.0,43,21.14,160,92.50,0,0,1,11,6,Pakistan,1999,90.4,6,342,15.0,4/40,22.80,3.77,36.2,1,0,5,0,PAK,All Rounder,False
Wasim Akram,6,5,2,71.0,33,23.66,69,102.89,0,0,0,10,1,Pakistan,2003,47.3,4,201,12.0,5/28,16.75,4.23,23.7,0,1,0,0,PAK,All Rounder,False
SR Waugh,8,8,5,167.0,45,55.66,171,97.66,0,0,0,12,4,Australia,1987,63.3,4,288,11.0,2/36,26.18,4.53,34.6,0,0,3,0,AUS,All Rounder,True
SR Waugh,8,7,0,187.0,55,26.71,239,78.24,0,1,0,12,1,Australia,1992,60.4,1,277,8.0,3/36,34.62,4.56,45.5,0,0,2,0,AUS,All Rounder,False
SR Waugh,7,7,2,226.0,82,45.20,285,79.29,0,3,0,14,2,Australia,1996,31.0,2,157,5.0,2/22,31.40,5.06,37.2,0,0,3,0,AUS,All Rounder,False
SR Waugh,10,8,3,398.0,120*,79.60,512,77.73,1,2,0,35,6,Australia,1999,18.0,0,92,3.0,2/8,30.66,5.11,36.0,0,0,6,0,AUS,All Rounder,True
AA Donald,9,1,0,3.0,3,3.00,6,50.00,0,0,0,0,0,SouthAfrica,1992,78.0,5,329,13.0,3/34,25.30,4.21,36.0,0,0,1,0,SA,Bowler,True
AA Donald,4,-,-,0.0,-,-,-,-,-,-,-,-,-,SouthAfrica,1996,34.0,0,126,8.0,3/21,15.75,3.70,25.5,0,0,0,0,SA,Bowler,False
AA Donald,9,3,1,10.0,7,5.00,34,29.41,0,0,1,0,0,SouthAfrica,1999,82.0,7,325,16.0,4/17,20.31,3.96,30.7,2,0,2,0,SA,Bowler,True
AA Donald,3,1,1,0.0,0*,-,0,-,0,0,0,0,0,SouthAfrica,2003,24.5,2,133,1.0,1/52,133.00,5.35,149.0,0,0,0,0,SA,Bowler,False
CZ Harris,9,6,1,44.0,14,8.80,78,56.41,0,0,0,3,0,NewZealand,1992,72.1,4,342,16.0,3/15,21.37,4.73,27.0,0,0,4,0,NZ,All Rounder,True
CZ Harris,4,4,0,156.0,130,39.00,173,90.17,1,0,0,14,4,NewZealand,1996,33.0,1,135,5.0,3/24,27.00,4.09,39.6,0,0,1,0,NZ,All Rounder,False
CZ Harris,9,4,1,115.0,42,38.33,205,56.09,0,0,0,3,0,NewZealand,1999,54.1,2,255,9.0,4/7,28.33,4.70,36.1,1,0,2,0,NZ,All Rounder,False
CZ Harris,6,6,3,116.0,38*,38.66,170,68.23,0,0,0,10,0,NewZealand,2003,35.0,3,129,2.0,1/19,64.50,3.68,105.0,0,0,0,0,NZ,All Rounder,False
BC Lara,8,8,1,333.0,88*,47.57,408,81.61,0,4,1,34+,1+,WestIndies,1992,-,-,-,0.0,-,-,-,-,-,-,2,0,WI,Batsman,True
BC Lara,6,6,1,269.0,111,53.80,256,105.07,1,1,0,33,2,WestIndies,1996,-,-,-,0.0,-,-,-,-,-,-,2,0,WI,Batsman,False
BC Lara,5,5,1,106.0,36,26.50,120,88.33,0,0,0,13,2,WestIndies,1999,-,-,-,0.0,-,-,-,-,-,-,5,0,WI,Batsman,False
BC Lara,6,6,0,248.0,116,41.33,306,81.04,1,1,0,25,7,WestIndies,2003,-,-,-,0.0,-,-,-,-,-,-,2,0,WI,Batsman,False
BC Lara,9,8,1,269.0,77,38.42,330,81.51,0,1,0,19,5,WestIndies,2007,-,-,-,0.0,-,-,-,-,-,-,5,0,WI,Batsman,False
Mushtaq Ahmed,9,4,1,27.0,17,9.00,56,48.21,0,0,0,1,0,Pakistan,1992,78.0,3,311,16.0,3/41,19.43,3.98,29.2,0,0,2,0,PAK,Bowler,True
Mushtaq Ahmed,6,1,0,0.0,0,0.00,2,0.00,0,0,1,0,0,Pakistan,1996,57.0,2,238,10.0,3/16,23.80,4.17,34.2,0,0,3,0,PAK,Bowler,False
SR Tendulkar,8,7,1,283.0,84,47.16,334,84.73,0,3,0,24,1,India,1992,41.0,0,180,2.0,1/35,90.00,4.39,123.0,0,0,2,0,INDIA,Batsman,False
SR Tendulkar,7,7,1,523.0,137,87.16,609,85.87,2,3,0,57,7,India,1996,36.0,1,149,2.0,2/34,74.50,4.13,108.0,0,0,2,0,INDIA,Batsman,True
SR Tendulkar,7,7,1,253.0,140*,42.16,281,90.03,1,0,1,30,3,India,1999,9.0,0,63,0.0,-,-,7.00,-,0,0,2,0,INDIA,Batsman,False
SR Tendulkar,11,11,0,673.0,152,61.18,754,89.25,1,6,0,75,4,India,2003,18.0,0,77,2.0,2/28,38.50,4.27,54.0,0,0,4,0,INDIA,Batsman,True
SR Tendulkar,3,3,1,64.0,57*,32.00,58,110.34,0,1,1,3,4,India,2007,12.0,0,49,2.0,1/1,24.50,4.08,36.0,0,0,0,0,INDIA,Batsman,False
SR Tendulkar,9,9,0,482.0,120,53.55,524,91.98,2,2,0,52,8,India,2011,4.0,0,21,0.0,-,-,5.25,-,0,0,2,0,INDIA,Batsman,True
ME Waugh,5,5,1,145.0,66*,36.25,144,100.69,0,1,0,8,2,Australia,1992,5.0,0,40,0.0,-,-,8.00,-,0,0,4,0,AUS,Batsman,False
ME Waugh,7,7,1,484.0,130,80.66,563,85.96,3,1,1,40,6,Australia,1996,48.0,1,229,5.0,3/38,45.80,4.77,57.6,0,0,1,0,AUS,Batsman,True
ME Waugh,10,10,1,375.0,104,41.66,492,76.21,1,2,1,39,1,Australia,1999,9.0,0,44,0.0,-,-,4.88,-,0,0,6,0,AUS,Batsman,True
DW Fleming,6,1,0,0.0,0,0.00,1,0.00,0,0,1,0,0,Australia,1996,45.2,3,221,12.0,5/36,18.41,4.87,22.6,0,1,2,0,AUS,Bowler,True
DW Fleming,10,3,2,12.0,8*,12.00,16,75.00,0,0,1,0,0,Australia,1999,88.0,9,362,14.0,3/57,25.85,4.11,37.7,0,0,3,0,AUS,Bowler,False
JH Kallis,5,4,2,63.0,26,31.50,97,64.94,0,0,0,3,0,SouthAfrica,1996,13.0,1,57,0.0,-,-,4.38,-,0,0,1,0,SA,All Rounder,False
JH Kallis,8,8,2,312.0,96,52.00,470,66.38,0,4,2,18,4,SouthAfrica,1999,66.0,5,260,8.0,3/26,32.50,3.93,49.5,0,0,1,0,SA,All Rounder,False
JH Kallis,6,4,0,63.0,33,15.75,89,70.78,0,0,0,4,1,SouthAfrica,2003,41.0,3,193,3.0,3/41,64.33,4.70,82.0,0,0,2,0,SA,All Rounder,False
JH Kallis,10,9,3,485.0,128*,80.83,578,83.91,1,3,0,43,7,SouthAfrica,2007,61.0,1,271,5.0,2/36,54.20,4.44,73.2,0,0,3,0,SA,All Rounder,True
JH Kallis,7,7,0,225.0,69,32.14,309,72.81,0,2,0,18,1,SouthAfrica,2011,30.0,3,123,5.0,2/19,24.60,4.10,36.0,0,0,6,0,SA,All Rounder,False
G Kirsten,6,6,1,391.0,188*,78.20,434,90.09,1,1,0,33,4,SouthAfrica,1996,3.0,1,9,0.0,-,-,3.00,-,0,0,2,0,SA,Batsman,True
G Kirsten,9,9,0,229.0,82,25.44,417,54.91,0,1,1,22,1,SouthAfrica,1999,-,-,-,0.0,-,-,-,-,-,-,5,0,SA,Batsman,False
G Kirsten,6,6,3,186.0,69,62.00,217,85.71,0,3,1,24,2,SouthAfrica,2003,-,-,-,0.0,-,-,-,-,-,-,2,0,SA,Batsman,False
A Kumble,7,3,1,27.0,17,13.50,28,96.42,0,0,0,5,0,India,1996,69.4,3,281,15.0,3/28,18.73,4.03,27.8,0,0,8,0,INDIA,Bowler,True
A Kumble,7,3,2,10.0,6*,10.00,15,66.66,0,0,0,0,0,India,1999,67.2,1,282,8.0,2/30,35.25,4.18,50.5,0,0,5,0,INDIA,Bowler,False
A Kumble,3,2,1,25.0,16*,25.00,45,55.55,0,0,0,1,0,India,2003,27.0,1,107,5.0,4/32,21.40,3.96,32.4,1,0,1,0,INDIA,Bowler,False
A Kumble,1,-,-,0.0,-,-,-,-,-,-,-,-,-,India,2007,9.1,0,38,3.0,3/38,12.66,4.14,18.3,0,0,0,0,INDIA,Bowler,False
GD McGrath,7,1,1,0.0,0*,-,0,-,0,0,0,0,0,Australia,1996,62.2,10,258,6.0,2/30,43.00,4.13,62.3,0,0,1,0,AUS,Bowler,False
GD McGrath,10,2,1,0.0,0*,0.00,3,0.00,0,0,1,0,0,Australia,1999,95.4,9,367,18.0,5/14,20.38,3.83,31.8,0,1,0,0,AUS,Bowler,True
GD McGrath,11,1,1,3.0,3*,-,2,150.00,0,0,0,0,0,Australia,2003,87.0,18,310,21.0,7/15,14.76,3.56,24.8,0,1,3,0,AUS,Bowler,True
GD McGrath,11,-,-,0.0,-,-,-,-,-,-,-,-,-,Australia,2007,80.5,5,357,26.0,3/14,13.73,4.41,18.6,0,0,1,0,AUS,Bowler,True
M Muralitharan,6,1,1,5.0,5*,-,4,125.00,0,0,0,0,0,SriLanka,1996,57.1,3,216,7.0,2/37,30.85,3.77,49.0,0,0,2,0,SL,Bowler,False
M Muralitharan,5,3,1,16.0,12,8.00,11,145.45,0,0,0,3,0,SriLanka,1999,43.0,3,158,6.0,3/25,26.33,3.67,43.0,0,0,2,0,SL,Bowler,False
M Muralitharan,10,5,1,38.0,16,9.50,49,77.55,0,0,0,5,0,SriLanka,2003,87.4,7,319,17.0,4/28,18.76,3.63,30.9,1,0,3,0,SL,Bowler,True
M Muralitharan,10,2,1,3.0,2*,3.00,3,100.00,0,0,0,0,0,SriLanka,2007,84.4,1,351,23.0,4/19,15.26,4.14,22.0,2,0,5,0,SL,Bowler,True
M Muralitharan,9,2,1,7.0,7,7.00,4,175.00,0,0,0,0,1,SriLanka,2011,71.0,1,291,15.0,4/25,19.40,4.09,28.4,1,0,1,0,SL,Bowler,True
RT Ponting,7,7,0,229.0,102,32.71,327,70.03,1,0,1,16,1,Australia,1996,-,-,-,0.0,-,-,-,-,-,-,1,0,AUS,Batsman,False
RT Ponting,10,10,1,354.0,69,39.33,532,66.54,0,1,0,32,5,Australia,1999,-,-,-,0.0,-,-,-,-,-,-,6,0,AUS,Batsman,False
RT Ponting,11,10,2,415.0,140*,51.87,472,87.92,2,1,0,29,13,Australia,2003,-,-,-,0.0,-,-,-,-,-,-,11,0,AUS,Batsman,True
RT Ponting,11,9,1,539.0,113,67.37,565,95.39,1,4,0,53,11,Australia,2007,-,-,-,0.0,-,-,-,-,-,-,7,0,AUS,Batsman,True
RT Ponting,7,6,0,206.0,104,34.33,284,72.53,1,0,0,15,1,Australia,2011,-,-,-,0.0,-,-,-,-,-,-,3,0,AUS,Batsman,False
Saeed Anwar,6,6,2,329.0,83*,82.25,343,95.91,0,3,0,29,5,Pakistan,1996,-,-,-,0.0,-,-,-,-,-,-,0,0,PAK,Batsman,True
Saeed Anwar,10,10,1,368.0,113*,40.88,511,72.01,2,0,0,42,0,Pakistan,1999,-,-,-,0.0,-,-,-,-,-,-,3,0,PAK,Batsman,True
Saeed Anwar,5,5,1,218.0,101,54.50,303,71.94,1,0,0,19,1,Pakistan,2003,4.0,0,15,1.0,1/15,15.00,3.75,24.0,0,0,0,0,PAK,Batsman,False
Saqlain Mushtaq,1,-,-,0.0,-,-,-,-,-,-,-,-,-,Pakistan,1996,10.0,1,38,2.0,2/38,19.00,3.80,30.0,0,0,1,0,PAK,Bowler,False
Saqlain Mushtaq,10,7,4,40.0,21,13.33,84,47.61,0,0,2,2,0,Pakistan,1999,83.4,4,379,17.0,5/35,22.29,4.52,29.5,0,1,3,0,PAK,Bowler,True
Saqlain Mushtaq,3,3,2,16.0,12*,16.00,37,43.24,0,0,0,2,0,Pakistan,2003,18.4,2,77,4.0,2/44,19.25,4.12,28.0,0,0,0,0,PAK,Bowler,False
PA Strang,6,4,3,52.0,22*,52.00,79,65.82,0,0,0,4,0,Zimbabwe,1996,42.1,4,192,12.0,5/21,16.00,4.55,21.0,1,1,1,0,ZIM,All Rounder,True
